Regions;;lo_ESL;ce_ESL;up_ESL;lo_ESL_lo_SLR;ce_ESL_ce_SLR;up_ESL_up_SLR;lo_ESL_lo_SLR;ce_ESL_ce_SLR;up_ESL_up_SLR;lo_ESL_lo_SLR;ce_ESL_ce_SLR;up_ESL_up_SLR;lo_ESL_lo_SLR;ce_ESL_ce_SLR;up_ESL_up_SLR
;;Present day;Present day;Present day;RCP45 2050;RCP45 2050;RCP45 2050;RCP45 2100;RCP45 2100;RCP45 2100;RCP85 2050;RCP85 2050;RCP85 2050;RCP85 2100;RCP85 2100;RCP85 2100
Arabian-Peninsula;ARP;1,149;1,222;1,330;1,252;1,4046;1,596;1,388;1,658;1,977;1,275;1,4355;1,635;1,548;1,8779;2,284
Arabian-Sea;ARS;1,024;1,051;1,082;1,170;1,2924;1,424;1,331;1,602;1,899;1,193;1,3307;1,479;1,501;1,854;2,264
Arctic-Ocean;;1,769;1,862;2,056;1,746;1,9686;2,296;1,662;2,073;2,603;1,770;1,9874;2,311;1,698;2,1906;2,831
Bay-of-Bengal;BOB;1,192;1,214;1,238;1,319;1,4385;1,565;1,503;1,755;2,030;1,341;1,4602;1,588;1,667;1,9682;2,325
C.Australia;CAU;1,930;2,036;2,166;2,056;2,2713;2,518;2,258;2,601;2,989;2,055;2,284;2,546;2,389;2,807;3,303
C.North-America;CNA;0,969;1,095;1,310;1,146;1,3748;1,696;1,303;1,682;2,162;1,162;1,393;1,718;1,431;1,8729;2,439
Caribbean;CAR;0,644;0,701;0,790;0,805;0,96232;1,154;0,978;1,275;1,617;0,820;0,9821;1,180;1,085;1,4704;1,927
Central-Africa;CAF;1,208;1,226;1,254;1,375;1,4703;1,581;1,544;1,782;2,049;1,388;1,496;1,621;1,704;2,0295;2,416
E.Asia;EAS;2,402;2,535;2,675;2,512;2,7516;3,005;2,661;3,039;3,445;2,531;2,7814;3,047;2,807;3,2632;3,781
E.Australia;EAU;2,538;2,615;2,702;2,713;2,8731;3,048;2,889;3,186;3,513;2,714;2,8925;3,087;3,070;3,42;3,829
E.Europe;EEU;1,970;2,038;2,129;1,953;2,1298;2,328;1,891;2,178;2,485;1,980;2,1586;2,359;2,049;2,415;2,800
E.North-America;ENA;1,657;1,762;1,928;1,790;2,0368;2,346;1,901;2,332;2,828;1,798;2,0632;2,392;2,044;2,5412;3,116
E.Southern-Africa;ESAF;2,231;2,287;2,324;2,395;2,5402;2,673;2,580;2,871;3,166;2,411;2,5649;2,708;2,742;3,1026;3,500
Equatorial.Atlantic-Ocean;;2,488;2,518;2,546;2,657;2,7591;2,865;2,837;3,068;3,315;2,670;2,7831;2,901;2,986;3,2909;3,642
Equatorial.Indic-Ocean;;0,922;0,984;1,030;1,073;1,2263;1,370;1,247;1,549;1,856;1,090;1,2543;1,410;1,418;1,7842;2,190
Equatorial.Pacific-Ocean;;0,967;0,991;1,015;1,101;1,2246;1,355;1,311;1,570;1,851;1,109;1,2473;1,394;1,435;1,767;2,156
Greenland/Iceland;GIC;2,223;2,293;2,388;1,925;2,2213;2,566;1,358;1,967;2,688;1,868;2,1958;2,577;0,976;1,7716;2,791
Madagascar;MDG;1,882;1,955;2,007;2,031;2,2028;2,361;2,211;2,524;2,838;2,037;2,2227;2,396;2,364;2,7591;3,190
Mediterranean;MED;0,791;0,846;0,933;0,922;1,0512;1,215;1,080;1,300;1,560;0,947;1,0791;1,247;1,216;1,4863;1,815
N.Atlantic-Ocean;;1,808;1,888;2,012;1,950;2,1388;2,371;2,083;2,430;2,822;1,965;2,1624;2,403;2,213;2,633;3,110
N.Australia;NAU;3,058;3,143;3,235;3,203;3,3804;3,571;3,400;3,704;4,035;3,200;3,3955;3,606;3,536;3,914;4,353
N.Central-America;NCA;1,189;1,249;1,325;1,333;1,486;1,659;1,501;1,791;2,113;1,350;1,5062;1,684;1,627;1,9829;2,398
N.E.North-America;NEN;2,893;2,975;3,075;2,180;2,6878;3,215;1,456;2,387;3,345;2,189;2,7131;3,258;1,512;2,4945;3,517
N.E.South-America;NES;2,424;2,446;2,472;2,577;2,6758;2,783;2,749;2,986;3,245;2,599;2,7019;2,815;2,890;3,2021;3,568
