DATA_REF_SYNTAX;SUB_EX_ID;ENS_MEMBER;TABLE_ID;VAR_NAME;GRID_LABEL;VERSION_NO;HANDLE
CMIP6.CMIP.CCCma.CanESM5.historical;none;r1i1p1f1;day;snw;gn;v20190429;hdl:21.14100/38388812-0449-41d9-80b0-cd758beab55f;b,d
CMIP6.ScenarioMIP.CCCma.CanESM5.ssp126;none;r1i1p1f1;day;snw;gn;v20190429;hdl:21.14100/20d1d63e-7cfd-45b7-bb38-442a03cca39d;b,d
CMIP6.ScenarioMIP.CCCma.CanESM5.ssp585;none;r1i1p1f1;day;snw;gn;v20190429;hdl:21.14100/16d228c9-fa9b-4a35-8f77-587e5117e7af;b,d
CMIP6.CMIP.EC-Earth-Consortium.EC-Earth3.historical;none;r1i1p1f1;day;snw;gr;v20200310;hdl:21.14100/5ceb2be9-25a4-4d8b-b6c7-00d68753f33d;b,d
CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3.ssp126;none;r1i1p1f1;day;snw;gr;v20200310;hdl:21.14100/dc3ea1ac-f9b3-4348-8bab-731af2a2d2f7;b,d
CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3.ssp585;none;r1i1p1f1;day;snw;gr;v20200310;hdl:21.14100/9da8744b-1c00-42a9-834c-1d1f31e83af6;b,d
CMIP6.CMIP.NOAA-GFDL.GFDL-CM4.historical;none;r1i1p1f1;day;snw;gr1;v20180701;hdl:21.14100/bf1f279e-b174-489b-81d1-918901a95e6e;b,d
CMIP6.ScenarioMIP.NOAA-GFDL.GFDL-CM4.ssp585;none;r1i1p1f1;day;snw;gr1;v20180701;hdl:21.14100/e8e0fb80-347c-4029-9c0c-c4eef5d64087;b,d
CMIP6.CMIP.NOAA-GFDL.GFDL-ESM4.historical;none;r1i1p1f1;day;snw;gr1;v20190726;hdl:21.14100/eca72e86-427f-4e95-8fd6-d51da7f80356;b,d
CMIP6.ScenarioMIP.NOAA-GFDL.GFDL-ESM4.ssp126;none;r1i1p1f1;day;snw;gr1;v20180701;hdl:21.14100/d324fbe7-a414-4a2a-8387-39aa2ec80117;b,d
CMIP6.ScenarioMIP.NOAA-GFDL.GFDL-ESM4.ssp585;none;r1i1p1f1;day;snw;gr1;v20180701;hdl:21.14100/b8b5b714-dff3-473c-abe3-ff82bcaf77d2;b,d
CMIP6.CMIP.IPSL.IPSL-CM6A-LR.historical;none;r1i1p1f1;day;snw;gr;v20180803;hdl:21.14100/00f7eb22-4e1b-4de5-917d-b2d3d26d8aaf;b,d
CMIP6.ScenarioMIP.IPSL.IPSL-CM6A-LR.ssp126;none;r1i1p1f1;day;snw;gr;v20190121;hdl:21.14100/dc3fe891-69a9-4d64-8559-d63604975521;b,d
CMIP6.ScenarioMIP.IPSL.IPSL-CM6A-LR.ssp585;none;r1i1p1f1;day;snw;gr;v20190119;hdl:21.14100/3323269a-154b-4eb7-95c4-3349af51df9d;b,d
CMIP6.CMIP.MRI.MRI-ESM2-0.historical;none;r1i1p1f1;day;snw;gn;v20190603;hdl:21.14100/483d1035-58d9-44d1-99e9-ead377e07686;b,d
CMIP6.ScenarioMIP.MRI.MRI-ESM2-0.ssp126;none;r1i1p1f1;day;snw;gn;v20190603;hdl:21.14100/0d355e97-46ee-48cc-8945-1f177c64b765;b,d
CMIP6.ScenarioMIP.MRI.MRI-ESM2-0.ssp585;none;r1i1p1f1;day;snw;gn;v20190603;hdl:21.14100/9e309b79-7377-47df-af3c-8502da809b94;b,d
CMIP6.CMIP.NUIST.NESM3.historical;none;r1i1p1f1;day;snw;gn;v20190812;hdl:21.14100/999cc4ec-809f-4030-bcc3-a2614e732d46;b,d
CMIP6.ScenarioMIP.NUIST.NESM3.ssp126;none;r1i1p1f1;day;snw;gn;v20190806;hdl:21.14100/12dbb0ba-4ce7-4f04-81d2-fd1cd464b1eb;b,d
CMIP6.ScenarioMIP.NUIST.NESM3.ssp585;none;r1i1p1f1;day;snw;gn;v20190811;hdl:21.14100/d5fa16af-a611-4f10-9b7e-75b86725880c;b,d
CMIP6.CMIP.MOHC.UKESM1-0-LL.historical;none;r1i1p1f2;day;snw;gn;v20190627;hdl:21.14100/9cce0740-9d7a-4849-8ca2-d5e617e95c7e;b,d
CMIP6.ScenarioMIP.MOHC.UKESM1-0-LL.ssp126;none;r1i1p1f2;day;snw;gn;v20190708;hdl:21.14100/dc7fef12-d4ac-4bd6-b174-ea3c19914c2f;b,d
CMIP6.ScenarioMIP.MOHC.UKESM1-0-LL.ssp585;none;r1i1p1f2;day;snw;gn;v20190726;hdl:21.14100/870cce68-8948-4269-92a9-6613af120990;b,d
CMIP6.CMIP.BCC.BCC-CSM2-MR.historical;none;r1i1p1f1;day;snw;gn;v20181114;hdl:21.14100/052840be-db20-4d17-a7ee-ab0695d2d99c;b,d
CMIP6.ScenarioMIP.BCC.BCC-CSM2-MR.ssp126;none;r1i1p1f1;day;snw;gn;v20190312;hdl:21.14100/1c468d2d-0593-402d-887f-49570ca85f4f;b,d
CMIP6.ScenarioMIP.BCC.BCC-CSM2-MR.ssp585;none;r1i1p1f1;day;snw;gn;v20190308;hdl:21.14100/fc7cffc0-a4c7-4e9b-a41e-03e62a2ff19f;b,d
CMIP6.CMIP.MIROC.MIROC6.historical;none;r1i1p1f1;day;snw;gn;v20191016;hdl:21.14100/7a08adaa-5289-4852-b782-aee4f08a5140;b,d
CMIP6.ScenarioMIP.MIROC.MIROC6.ssp126;none;r1i1p1f1;day;snw;gn;v20191016;hdl:21.14100/39373cb2-f7de-41e4-aa46-6b42c6c35feb;b,d
CMIP6.ScenarioMIP.MIROC.MIROC6.ssp585;none;r1i1p1f1;day;snw;gn;v20191016;hdl:21.14100/3fe93800-4560-470c-9f12-897d3edb0319;b,d
CMIP6.CMIP.MPI-M.MPI-ESM1-2-HR.historical;none;r1i1p1f1;day;snw;gn;v20190710;hdl:21.14100/b87edcbd-f68f-4e6d-8d56-5011ccf01f9c;b,d
CMIP6.ScenarioMIP.DKRZ.MPI-ESM1-2-HR.ssp126;none;r1i1p1f1;day;snw;gn;v20190710;hdl:21.14100/c919b095-5c85-4e90-991d-1dbf24e70450;b,d
CMIP6.ScenarioMIP.DKRZ.MPI-ESM1-2-HR.ssp585;none;r1i1p1f1;day;snw;gn;v20190710;hdl:21.14100/4e9143c8-ba60-4d49-8107-7dfe60e280ea;b,d
CMIP6.CMIP.CSIRO-ARCCSS.ACCESS-CM2.historical;none;r1i1p1f1;day;snw;gn;v20191108;hdl:21.14100/4c7d7ea2-1426-488b-b589-aef114b5330b;b,d
CMIP6.ScenarioMIP.CSIRO-ARCCSS.ACCESS-CM2.ssp126;none;r1i1p1f1;day;snw;gn;v20191108;hdl:21.14100/b7cc7605-589d-4957-8af9-7822ecdbba05;b,d
CMIP6.ScenarioMIP.CSIRO-ARCCSS.ACCESS-CM2.ssp585;none;r1i1p1f1;day;snw;gn;v20191108;hdl:21.14100/1c434dcb-7f09-45a2-a11a-ee3c2edd147c;b,d
