DATA_REF_SYNTAX;SUB_EX_ID;ENS_MEMBER;TABLE_ID;VAR_NAME;GRID_LABEL;VERSION_NO;SUBPANEL
CMIP6.CMIP.CSIRO-ARCCSS.ACCESS-CM2.historical;none;r1i1p1f1;day;huss;gn;20191108;d,e,f
CMIP6.ScenarioMIP.CSIRO-ARCCSS.ACCESS-CM2.ssp126;none;r1i1p1f1;day;huss;gn;20191108;d
CMIP6.ScenarioMIP.CSIRO-ARCCSS.ACCESS-CM2.ssp585;none;r1i1p1f1;day;huss;gn;20191108;e,f
CMIP6.CMIP.CSIRO-ARCCSS.ACCESS-CM2.historical;none;r1i1p1f1;day;psl;gn;20191108;d,e,f
CMIP6.ScenarioMIP.CSIRO-ARCCSS.ACCESS-CM2.ssp126;none;r1i1p1f1;day;psl;gn;20191108;d
CMIP6.ScenarioMIP.CSIRO-ARCCSS.ACCESS-CM2.ssp585;none;r1i1p1f1;day;psl;gn;20191108;e,f
CMIP6.CMIP.CSIRO-ARCCSS.ACCESS-CM2.historical;none;r1i1p1f1;day;tasmax;gn;20191108;d,e,f
CMIP6.ScenarioMIP.CSIRO-ARCCSS.ACCESS-CM2.ssp126;none;r1i1p1f1;day;tasmax;gn;20191108;d
CMIP6.ScenarioMIP.CSIRO-ARCCSS.ACCESS-CM2.ssp585;none;r1i1p1f1;day;tasmax;gn;20191108;e,f
CMIP6.CMIP.CSIRO.ACCESS-ESM1-5.historical;none;r1i1p1f1;day;huss;gn;20191115;d,e,f
CMIP6.ScenarioMIP.CSIRO.ACCESS-ESM1-5.ssp126;none;r1i1p1f1;day;huss;gn;20191115;d
CMIP6.ScenarioMIP.CSIRO.ACCESS-ESM1-5.ssp585;none;r1i1p1f1;day;huss;gn;20191115;e,f
CMIP6.CMIP.CSIRO.ACCESS-ESM1-5.historical;none;r1i1p1f1;day;psl;gn;20191115;d,e,f
CMIP6.ScenarioMIP.CSIRO.ACCESS-ESM1-5.ssp126;none;r1i1p1f1;day;psl;gn;20191115;d
CMIP6.ScenarioMIP.CSIRO.ACCESS-ESM1-5.ssp585;none;r1i1p1f1;day;psl;gn;20191115;e,f
CMIP6.CMIP.CSIRO.ACCESS-ESM1-5.historical;none;r1i1p1f1;day;tasmax;gn;20191115;d,e,f
CMIP6.ScenarioMIP.CSIRO.ACCESS-ESM1-5.ssp126;none;r1i1p1f1;day;tasmax;gn;20191115;d
CMIP6.ScenarioMIP.CSIRO.ACCESS-ESM1-5.ssp585;none;r1i1p1f1;day;tasmax;gn;20191115;e,f
CMIP6.CMIP.BCC.BCC-CSM2-MR.historical;none;r1i1p1f1;day;huss;gn;20181126;d,e,f
CMIP6.ScenarioMIP.BCC.BCC-CSM2-MR.ssp126;none;r1i1p1f1;day;huss;gn;20190319;d
CMIP6.ScenarioMIP.BCC.BCC-CSM2-MR.ssp585;none;r1i1p1f1;day;huss;gn;20190319;e,f
