model,exp
ACCESS-CM2,ssp126
ACCESS-CM2,ssp585
ACCESS-ESM1-5,ssp126
ACCESS-ESM1-5,ssp585
BCC-CSM2-MR,ssp126
BCC-CSM2-MR,ssp585
CESM2,ssp585
CESM2,ssp126
CESM2-WACCM,ssp585
CESM2-WACCM,ssp126
CIESM,ssp585
CMCC-CM2-SR5,ssp585
CMCC-CM2-SR5,ssp126
CNRM-CM6-1,ssp585
CNRM-CM6-1,ssp126
CNRM-CM6-1-HR,ssp585
CNRM-CM6-1-HR,ssp126
CNRM-ESM2-1,ssp585
CNRM-ESM2-1,ssp126
CanESM5,ssp126
CanESM5,ssp585
CanESM5-CanOE,ssp585
CanESM5-CanOE,ssp126
E3SM-1-1,ssp585
EC-Earth3,ssp585
EC-Earth3,ssp126
EC-Earth3-CC,ssp585
EC-Earth3-Veg,ssp585
EC-Earth3-Veg,ssp126
EC-Earth3-Veg-LR,ssp126
EC-Earth3-Veg-LR,ssp585
FGOALS-f3-L,ssp126
FGOALS-f3-L,ssp585
FGOALS-g3,ssp585
GFDL-CM4,ssp585
GFDL-ESM4,ssp585
HadGEM3-GC31-LL,ssp126
HadGEM3-GC31-LL,ssp585
HadGEM3-GC31-MM,ssp126
HadGEM3-GC31-MM,ssp585
INM-CM4-8,ssp585
INM-CM4-8,ssp126
INM-CM5-0,ssp126
INM-CM5-0,ssp585
IPSL-CM6A-LR,ssp126
IPSL-CM6A-LR,ssp585
MIROC-ES2L,ssp585
MIROC-ES2L,ssp126
MIROC6,ssp126
MIROC6,ssp585
MPI-ESM1-2-HR,ssp126
MPI-ESM1-2-HR,ssp585
MPI-ESM1-2-LR,ssp585
MPI-ESM1-2-LR,ssp126
MRI-ESM2-0,ssp126
MRI-ESM2-0,ssp585
NorESM2-LM,ssp585
NorESM2-MM,ssp585
TaiESM1,ssp126
TaiESM1,ssp585
UKESM1-0-LL,ssp126
UKESM1-0-LL,ssp585
