"","X","DATA_REF_SYNTAX","SUB_EX_ID","TABLE_ID","ENS_MEMBER","GRID_LABEL","VERSION_NO","VAR_NAME"
"1",1,"CMIP6.CMIP.AS-RCEC.TaiESM1.historical","none","Amon","r1i1p1f1","gn","v20200623","sfcWind"
"2",2,"CMIP6.CMIP.AWI.AWI-CM-1-1-MR.historical","none","Amon","r1i1p1f1","gn","v20200511","sfcWind"
"3",3,"CMIP6.CMIP.BCC.BCC-CSM2-MR.historical","none","Amon","r1i1p1f1","gn","v20181126","sfcWind"
"4",4,"CMIP6.CMIP.CAMS.CAMS-CSM1-0.historical","none","Amon","r2i1p1f1","gn","v20190829","sfcWind"
"5",5,"CMIP6.CMIP.CAS.FGOALS-g3.historical","none","Amon","r1i1p1f1","gn","v20190818","sfcWind"
"6",6,"CMIP6.CMIP.CCCma.CanESM5.historical","none","Amon","r1i1p1f1","gn","v20190429","sfcWind"
"7",7,"CMIP6.CMIP.CCCR-IITM.IITM-ESM.historical","none","Amon","r1i1p1f1","gn","v20191226","sfcWind"
"8",8,"CMIP6.CMIP.CMCC.CMCC-CM2-SR5.historical","none","Amon","r1i1p1f1","gn","v20200616","sfcWind"
"9",9,"CMIP6.CMIP.CNRM-CERFACS.CNRM-CM6-1.historical","none","Amon","r1i1p1f2","gr","v20180917","sfcWind"
"10",10,"CMIP6.CMIP.CNRM-CERFACS.CNRM-CM6-1-HR.historical","none","Amon","r1i1p1f2","gr","v20191021","sfcWind"
"11",11,"CMIP6.CMIP.CNRM-CERFACS.CNRM-ESM2-1.historical","none","Amon","r1i1p1f2","gr","v20181206","sfcWind"
"12",12,"CMIP6.CMIP.CSIRO.ACCESS-ESM1-5.historical","none","Amon","r1i1p1f1","gn","v20191115","sfcWind"
"13",13,"CMIP6.CMIP.CSIRO-ARCCSS.ACCESS-CM2.historical","none","Amon","r1i1p1f1","gn","v20191108","sfcWind"
"14",14,"CMIP6.CMIP.EC-Earth-Consortium.EC-Earth3-AerChem.historical","none","Amon","r1i1p1f1","gr","v20200624","sfcWind"
"15",15,"CMIP6.CMIP.EC-Earth-Consortium.EC-Earth3.historical","none","Amon","r1i1p1f1","gr","v20200310","sfcWind"
"16",16,"CMIP6.CMIP.EC-Earth-Consortium.EC-Earth3-Veg.historical","none","Amon","r1i1p1f1","gr","v20200225","sfcWind"
"17",17,"CMIP6.CMIP.EC-Earth-Consortium.EC-Earth3-Veg-LR.historical","none","Amon","r1i1p1f1","gr","v20200217","sfcWind"
"18",18,"CMIP6.CMIP.INM.INM-CM4-8.historical","none","Amon","r1i1p1f1","gr1","v20190530","sfcWind"
"19",19,"CMIP6.CMIP.INM.INM-CM5-0.historical","none","Amon","r1i1p1f1","gr1","v20190610","sfcWind"
