"","DATA_REF_SYNTAX","SUB_EX_ID","TABLE_ID","ENS_MEMBER","GRID_LABEL","VERSION_NO","VAR_NAME"
"12","CMIP6.CMIP.CSIRO-ARCCSS.ACCESS-CM2.historical","none","day","r1i1p1f1","gn","v20191108","tasmax"
"74","CMIP6.ScenarioMIP.CSIRO-ARCCSS.ACCESS-CM2.ssp126","none","day","r1i1p1f1","gn","v20191108","tasmax"
"77","CMIP6.ScenarioMIP.CSIRO-ARCCSS.ACCESS-CM2.ssp585","none","day","r1i1p1f1","gn","v20191108","tasmax"
"11","CMIP6.CMIP.CSIRO.ACCESS-ESM1-5.historical","none","day","r1i1p1f1","gn","v20191115","tasmax"
"70","CMIP6.ScenarioMIP.CSIRO.ACCESS-ESM1-5.ssp126","none","day","r1i1p1f1","gn","v20191115","tasmax"
"73","CMIP6.ScenarioMIP.CSIRO.ACCESS-ESM1-5.ssp585","none","day","r1i1p1f1","gn","v20191115","tasmax"
"2","CMIP6.CMIP.AWI.AWI-CM-1-1-MR.historical","none","day","r1i1p1f1","gn","v20181218","tasmax"
"35","CMIP6.ScenarioMIP.AWI.AWI-CM-1-1-MR.ssp126","none","day","r1i1p1f1","gn","v20190529","tasmax"
"38","CMIP6.ScenarioMIP.AWI.AWI-CM-1-1-MR.ssp585","none","day","r1i1p1f1","gn","v20190529","tasmax"
"3","CMIP6.CMIP.BCC.BCC-CSM2-MR.historical","none","day","r1i1p1f1","gn","v20201019","tasmax"
"39","CMIP6.ScenarioMIP.BCC.BCC-CSM2-MR.ssp126","none","day","r1i1p1f1","gn","v20190315","tasmax"
"42","CMIP6.ScenarioMIP.BCC.BCC-CSM2-MR.ssp585","none","day","r1i1p1f1","gn","v20190318","tasmax"
"6","CMIP6.CMIP.CCCma.CanESM5.historical","none","day","r1i1p1f1","gn","v20190429","tasmax"
"51","CMIP6.ScenarioMIP.CCCma.CanESM5.ssp126","none","day","r1i1p1f1","gn","v20190429","tasmax"
"54","CMIP6.ScenarioMIP.CCCma.CanESM5.ssp585","none","day","r1i1p1f1","gn","v20190429","tasmax"
"8","CMIP6.CMIP.CNRM-CERFACS.CNRM-CM6-1.historical","none","day","r1i1p1f2","gr","v20180917","tasmax"
"62","CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-CM6-1.ssp126","none","day","r1i1p1f2","gr","v20190219","tasmax"
"65","CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-CM6-1.ssp585","none","day","r1i1p1f2","gr","v20190219","tasmax"
"10","CMIP6.CMIP.CNRM-CERFACS.CNRM-ESM2-1.historical","none","day","r1i1p1f2","gr","v20181206","tasmax"
"66","CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-ESM2-1.ssp126","none","day","r1i1p1f2","gr","v20190328","tasmax"
"69","CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-ESM2-1.ssp585","none","day","r1i1p1f2","gr","v20191021","tasmax"
"15","CMIP6.CMIP.EC-Earth-Consortium.EC-Earth3-Veg.historical","none","day","r1i1p1f1","gr","v20200225","tasmax"
"89","CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3-Veg.ssp126","none","day","r1i1p1f1","gr","v20200225","tasmax"
"92","CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3-Veg.ssp585","none","day","r1i1p1f1","gr","v20200225","tasmax"
"14","CMIP6.CMIP.EC-Earth-Consortium.EC-Earth3.historical","none","day","r1i1p1f1","gr","v20200310","tasmax"
"83","CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3.ssp126","none","day","r1i1p1f1","gr","v20200310","tasmax"
"86","CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3.ssp585","none","day","r1i1p1f1","gr","v20200310","tasmax"
"5","CMIP6.CMIP.CAS.FGOALS-g3.historical","none","day","r1i1p1f1","gn","v20190826","tasmax"
"47","CMIP6.ScenarioMIP.CAS.FGOALS-g3.ssp126","none","day","r1i1p1f1","gn","v20200928","tasmax"
"50","CMIP6.ScenarioMIP.CAS.FGOALS-g3.ssp585","none","day","r1i1p1f1","gn","v20190819","tasmax"
"32","CMIP6.CMIP.NOAA-GFDL.GFDL-CM4.historical","none","day","r1i1p1f1","gr2","v20180701","tasmax"
"149","CMIP6.ScenarioMIP.NOAA-GFDL.GFDL-CM4.ssp585","none","day","r1i1p1f1","gr1","v20180701","tasmax"
"33","CMIP6.CMIP.NOAA-GFDL.GFDL-ESM4.historical","none","day","r1i1p1f1","gr1","v20190726","tasmax"
"150","CMIP6.ScenarioMIP.NOAA-GFDL.GFDL-ESM4.ssp126","none","day","r1i1p1f1","gr1","v20180701","tasmax"
"153","CMIP6.ScenarioMIP.NOAA-GFDL.GFDL-ESM4.ssp585","none","day","r1i1p1f1","gr1","v20180701","tasmax"
"24","CMIP6.CMIP.MOHC.HadGEM3-GC31-LL.historical","none","day","r1i1p1f3","gn","v20190624","tasmax"
"117","CMIP6.ScenarioMIP.MOHC.HadGEM3-GC31-LL.ssp126","none","day","r1i1p1f3","gn","v20200114","tasmax"
"119","CMIP6.ScenarioMIP.MOHC.HadGEM3-GC31-LL.ssp585","none","day","r1i1p1f3","gn","v20200114","tasmax"
"18","CMIP6.CMIP.INM.INM-CM4-8.historical","none","day","r1i1p1f1","gr1","v20190530","tasmax"
"94","CMIP6.ScenarioMIP.INM.INM-CM4-8.ssp126","none","day","r1i1p1f1","gr1","v20190603","tasmax"
"97","CMIP6.ScenarioMIP.INM.INM-CM4-8.ssp585","none","day","r1i1p1f1","gr1","v20190603","tasmax"
"19","CMIP6.CMIP.INM.INM-CM5-0.historical","none","day","r1i1p1f1","gr1","v20190610","tasmax"
"98","CMIP6.ScenarioMIP.INM.INM-CM5-0.ssp126","none","day","r1i1p1f1","gr1","v20190619","tasmax"
"101","CMIP6.ScenarioMIP.INM.INM-CM5-0.ssp585","none","day","r1i1p1f1","gr1","v20190724","tasmax"
"20","CMIP6.CMIP.IPSL.IPSL-CM6A-LR.historical","none","day","r1i1p1f1","gr","v20190614","tasmax"
"102","CMIP6.ScenarioMIP.IPSL.IPSL-CM6A-LR.ssp126","none","day","r1i1p1f1","gr","v20190903","tasmax"
"105","CMIP6.ScenarioMIP.IPSL.IPSL-CM6A-LR.ssp585","none","day","r1i1p1f1","gr","v20190903","tasmax"
"31","CMIP6.CMIP.NIMS-KMA.KACE-1-0-G.historical","none","day","r2i1p1f1","gr","v20200317","tasmax"
"144","CMIP6.ScenarioMIP.NIMS-KMA.KACE-1-0-G.ssp126","none","day","r2i1p1f1","gr","v20200316","tasmax"
"147","CMIP6.ScenarioMIP.NIMS-KMA.KACE-1-0-G.ssp585","none","day","r2i1p1f1","gr","v20200317","tasmax"
"23","CMIP6.CMIP.MIROC.MIROC-ES2L.historical","none","day","r1i1p1f2","gn","v20191129","tasmax"
"113","CMIP6.ScenarioMIP.MIROC.MIROC-ES2L.ssp126","none","day","r1i1p1f2","gn","v20200318","tasmax"
"116","CMIP6.ScenarioMIP.MIROC.MIROC-ES2L.ssp585","none","day","r1i1p1f2","gn","v20200318","tasmax"
"22","CMIP6.CMIP.MIROC.MIROC6.historical","none","day","r1i1p1f1","gn","v20191016","tasmax"
"109","CMIP6.ScenarioMIP.MIROC.MIROC6.ssp126","none","day","r1i1p1f1","gn","v20191016","tasmax"
"112","CMIP6.ScenarioMIP.MIROC.MIROC6.ssp585","none","day","r1i1p1f1","gn","v20191016","tasmax"
"26","CMIP6.CMIP.MPI-M.MPI-ESM1-2-HR.historical","none","day","r1i1p1f1","gn","v20190710","tasmax"
"78","CMIP6.ScenarioMIP.DKRZ.MPI-ESM1-2-HR.ssp126","none","day","r1i1p1f1","gn","v20190710","tasmax"
"81","CMIP6.ScenarioMIP.DKRZ.MPI-ESM1-2-HR.ssp585","none","day","r1i1p1f1","gn","v20190710","tasmax"
"27","CMIP6.CMIP.MPI-M.MPI-ESM1-2-LR.historical","none","day","r1i1p1f1","gn","v20190710","tasmax"
