DATA_REF_SYNTAX;SUB_EX_ID;ENS_MEMBER;TABLE_ID;VAR_NAME;GRID_LABEL;VERSION_NO;SUBPANEL
CMIP6.CMIP.CSIRO-ARCCSS.ACCESS-CM2.historical;;r1i1p1f1;day;mrro;gn;v20191108;e,f
CMIP6.ScenarioMIP.CSIRO-ARCCSS.ACCESS-CM2.ssp126;;r1i1p1f1;day;mrro;gn;v20191108;e,f
CMIP6.ScenarioMIP.CSIRO-ARCCSS.ACCESS-CM2.ssp585;;r1i1p1f1;day;mrro;gn;v20191108;e,f
CMIP6.CMIP.BCC.BCC-CSM2-MR.historical;;r1i1p1f1;day;mrro;gn;v20190227;e,f
CMIP6.ScenarioMIP.BCC.BCC-CSM2-MR.ssp126;;r1i1p1f1;day;mrro;gn;v20190312;e,f
CMIP6.ScenarioMIP.BCC.BCC-CSM2-MR.ssp585;;r1i1p1f1;day;mrro;gn;v20190308;e,f
CMIP6.CMIP.CCCma.CanESM5.historical;;r1i1p1f1;day;mrro;gn;v20190429;e,f
CMIP6.ScenarioMIP.CCCma.CanESM5.ssp585;;r1i1p1f1;day;mrro;gn;v20190429;e,f
CMIP6.CMIP.NCAR.CESM2.historical;;r11i1p1f1;day;mrro;gn;v20190514;e,f
CMIP6.ScenarioMIP.NCAR.CESM2.ssp126;;r11i1p1f1;day;mrro;gn;v20200528;e,f
CMIP6.ScenarioMIP.NCAR.CESM2.ssp585;;r11i1p1f1;day;mrro;gn;v20200528;e,f
CMIP6.CMIP.EC-Earth-Consortium.EC-Earth3.historical;;r1i1p1f1;day;mrro;gr;v20200310;e,f
CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3.ssp126;;r1i1p1f1;day;mrro;gr;v20200310;e,f
CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3.ssp585;;r1i1p1f1;day;mrro;gr;v20200310;e,f
CMIP6.CMIP.NOAA-GFDL.GFDL-CM4.historical;;r1i1p1f1;day;mrro;gr1;v20180701;e,f
CMIP6.ScenarioMIP.NOAA-GFDL.GFDL-CM4.ssp585;;r1i1p1f1;day;mrro;gr1;v20180701;e,f
CMIP6.CMIP.MOHC.HadGEM3-GC31-LL.historical;;r1i1p1f3;day;mrro;gn;v20190624;e,f
CMIP6.ScenarioMIP.MOHC.HadGEM3-GC31-LL.ssp126;;r1i1p1f3;day;mrro;gn;v20200114;e,f
CMIP6.ScenarioMIP.MOHC.HadGEM3-GC31-LL.ssp585;;r1i1p1f3;day;mrro;gn;v20200114;e,f
CMIP6.CMIP.MOHC.HadGEM3-GC31-MM.historical.r1i1p1f3;;r1i1p1f3;day;mrro;gn;v20191207;e,f
CMIP6.ScenarioMIP.MOHC.HadGEM3-GC31-MM.ssp126;;r1i1p1f3;day;mrro;gn;v20200515;e,f
CMIP6.ScenarioMIP.MOHC.HadGEM3-GC31-MM.ssp585;;r1i1p1f3;day;mrro;gn;v20200515;e,f
CMIP6.CMIP.INM.INM-CM4-8.historical;;r1i1p1f1;day;mrro;gr1;v20190530;e,f
CMIP6.ScenarioMIP.INM.INM-CM4-8.ssp126;;r1i1p1f1;day;mrro;gr1;v20190603;e,f
CMIP6.ScenarioMIP.INM.INM-CM4-8.ssp585;;r1i1p1f1;day;mrro;gr1;v20190603;e,f
CMIP6.CMIP.INM.INM-CM5-0.historical;;r1i1p1f1;day;mrro;gr1;v20190610;e,f
CMIP6.ScenarioMIP.INM.INM-CM5-0.ssp126;;r1i1p1f1;day;mrro;gr1;v20190619;e,f
CMIP6.ScenarioMIP.INM.INM-CM5-0.ssp585;;r1i1p1f1;day;mrro;gr1;v20190724;e,f
CMIP6.CMIP.IPSL.IPSL-CM6A-LR.historical;;r1i1p1f1;day;mrro;gr;v20180803;e,f
CMIP6.ScenarioMIP.IPSL.IPSL-CM6A-LR.ssp126;;r1i1p1f1;day;mrro;gr;v20190903;e,f
CMIP6.ScenarioMIP.IPSL.IPSL-CM6A-LR.ssp585;;r1i1p1f1;day;mrro;gr;v20190903;e,f
CMIP6.CMIP.NIMS-KMA.KACE-1-0-G.historical;;r1i1p1f1;day;mrro;gr;v20190911;e,f
CMIP6.ScenarioMIP.NIMS-KMA.KACE-1-0-G.ssp126;;r1i1p1f1;day;mrro;gr;v20191011;e,f
CMIP6.ScenarioMIP.NIMS-KMA.KACE-1-0-G.ssp585;;r1i1p1f1;day;mrro;gr;v20190920;e,f
CMIP6.CMIP.MIROC.MIROC6.historical;;r1i1p1f1;day;mrro;gn;v20191016;e,f
CMIP6.ScenarioMIP.MIROC.MIROC6.ssp126;;r1i1p1f1;day;mrro;gn;v20191016;e,f
CMIP6.ScenarioMIP.MIROC.MIROC6.ssp585;;r1i1p1f1;day;mrro;gn;v20191016;e,f
CMIP6.CMIP.MIROC.MIROC-ES2L.historical;;r1i1p1f2;day;mrro;gn;v20191129;e,f
CMIP6.ScenarioMIP.MIROC.MIROC-ES2L.ssp126;;r1i1p1f2;day;mrro;gn;v20200318;e,f
CMIP6.ScenarioMIP.MIROC.MIROC-ES2L.ssp585;;r1i1p1f2;day;mrro;gn;v20200318;e,f
CMIP6.CMIP.MPI-M.MPI-ESM1-2-HR.historical;;r1i1p1f1;day;mrro;gn;v20190710;e,f
CMIP6.ScenarioMIP.DKRZ.MPI-ESM1-2-HR.ssp126;;r1i1p1f1;day;mrro;gn;v20190710;e,f
