DATA_REF_SYNTAX;MODEL_ID;RCM_VERSION_ID;FREQUENCY;VAR_NAME;VERSION_NO;SUBPANEL
cordex-reklies.output.EUR-11.CLMcom.CCCma-CanESM2.historical.r1i1p1;CCLM4-8-17;v1;day;mrro;v20171121;a,e,f
cordex-reklies.output.EUR-11.CLMcom.CCCma-CanESM2.rcp85.r1i1p1;CCLM4-8-17;v1;day;mrro;v20171121;a,e,f
cordex.output.EUR-11.CLMcom.CNRM-CERFACS-CNRM-CM5.historical.r1i1p1;CCLM4-8-17;v1;day;mrro;v20140515;a,e,f
cordex.output.EUR-11.CLMcom.CNRM-CERFACS-CNRM-CM5.rcp85.r1i1p1;CCLM4-8-17;v1;day;mrro;v20140515;a,e,f
cordex.output.EUR-11.CLMcom.ICHEC-EC-EARTH.historical.r12i1p1;CCLM4-8-17;v1;day;mrro;v20140515;a,e,f
cordex.output.EUR-11.CLMcom.ICHEC-EC-EARTH.rcp26.r12i1p1;CCLM4-8-17;v1;day;mrro;v20170523;e,f
cordex.output.EUR-11.CLMcom.ICHEC-EC-EARTH.rcp85.r12i1p1;CCLM4-8-17;v1;day;mrro;v20140515;a,e,f
cordex-reklies.output.EUR-11.CLMcom.MIROC-MIROC5.historical.r1i1p1;CCLM4-8-17;v1;day;mrro;v20171121;a,e,f
cordex-reklies.output.EUR-11.CLMcom.MIROC-MIROC5.rcp85.r1i1p1;CCLM4-8-17;v1;day;mrro;v20171121;a,e,f
cordex.output.EUR-11.CLMcom.MOHC-HadGEM2-ES.historical.r1i1p1;CCLM4-8-17;v1;day;mrro;v20150320;a,e,f
cordex.output.EUR-11.CLMcom.MOHC-HadGEM2-ES.rcp85.r1i1p1;CCLM4-8-17;v1;day;mrro;v20150320;a,e,f
cordex.output.EUR-11.CLMcom.MPI-M-MPI-ESM-LR.historical.r1i1p1;CCLM4-8-17;v1;day;mrro;v20140515;a,e,f
cordex.output.EUR-11.CLMcom.MPI-M-MPI-ESM-LR.rcp85.r1i1p1;CCLM4-8-17;v1;day;mrro;v20140515;a,e,f
cordex.output.EUR-11.CLMcom-ETH.MPI-M-MPI-ESM-LR.historical.r1i1p1;COSMO-crCLIM-v1-1;v1;day;mrro;v20191219;a,e,f
cordex.output.EUR-11.CLMcom-ETH.MPI-M-MPI-ESM-LR.rcp85.r1i1p1;COSMO-crCLIM-v1-1;v1;day;mrro;v20200102;a,e,f
cordex.output.EUR-11.CNRM.CNRM-CERFACS-CNRM-CM5.historical.r1i1p1;ALADIN63;v2;day;mrro;v20190510;a,e,f
cordex.output.EUR-11.CNRM.CNRM-CERFACS-CNRM-CM5.rcp26.r1i1p1;ALADIN63;v2;day;mrro;v20190702;e,f
cordex.output.EUR-11.CNRM.CNRM-CERFACS-CNRM-CM5.rcp85.r1i1p1;ALADIN63;v2;day;mrro;v20190828;a,e,f
cordex.output.EUR-11.CNRM.MOHC-HadGEM2-ES.historical.r1i1p1;ALADIN63;v1;day;mrro;v20190919;a,e,f
cordex.output.EUR-11.CNRM.MOHC-HadGEM2-ES.rcp85.r1i1p1;ALADIN63;v1;day;mrro;v20191004;a,e,f
cordex.output.EUR-11.DMI.CNRM-CERFACS-CNRM-CM5.historical.r1i1p1;HIRHAM5;v2;day;mrro;v20190131;a,e,f
cordex.output.EUR-11.DMI.CNRM-CERFACS-CNRM-CM5.rcp85.r1i1p1;HIRHAM5;v2;day;mrro;v20190208;a,e,f
cordex.output.EUR-11.DMI.ICHEC-EC-EARTH.historical.r1i1p1;HIRHAM5;v1;day;mrro;v20190108;a,e,f
cordex.output.EUR-11.DMI.ICHEC-EC-EARTH.rcp85.r1i1p1;HIRHAM5;v1;day;mrro;v20190108;a,e,f
cordex.output.EUR-11.DMI.ICHEC-EC-EARTH.historical.r12i1p1;HIRHAM5;v1;day;mrro;v20181126;a,e,f
cordex.output.EUR-11.DMI.ICHEC-EC-EARTH.rcp85.r12i1p1;HIRHAM5;v1;day;mrro;v20181126;a,e,f
cordex.output.EUR-11.DMI.ICHEC-EC-EARTH.historical.r3i1p1;HIRHAM5;v2;day;mrro;v20190212;a,e,f
cordex.output.EUR-11.DMI.ICHEC-EC-EARTH.rcp26.r3i1p1;HIRHAM5;v2;day;mrro;v20190620;e,f
cordex.output.EUR-11.DMI.ICHEC-EC-EARTH.rcp85.r3i1p1;HIRHAM5;v2;day;mrro;v20190212;a,e,f
cordex.output.EUR-11.DMI.MOHC-HadGEM2-ES.historical.r1i1p1;HIRHAM5;v2;day;mrro;v20190512;a,e,f
cordex.output.EUR-11.DMI.MOHC-HadGEM2-ES.rcp85.r1i1p1;HIRHAM5;v2;day;mrro;v20190512;a,e,f
cordex.output.EUR-11.DMI.NCC-NorESM1-M.historical.r1i1p1;HIRHAM5;v3;day;mrro;v20190522;a,e,f
cordex.output.EUR-11.DMI.NCC-NorESM1-M.rcp85.r1i1p1;HIRHAM5;v3;day;mrro;v20190522;a,e,f
cordex-reklies.output.EUR-11.GERICS.CCCma-CanESM2.historical.r1i1p1;REMO2015;v1;day;mrro;v20170329;a,e,f
cordex-reklies.output.EUR-11.GERICS.CCCma-CanESM2.rcp85.r1i1p1;REMO2015;v1;day;mrro;v20170329;a,e,f
cordex-reklies.output.EUR-11.GERICS.CNRM-CERFACS-CNRM-CM5.historical.r1i1p1;REMO2015;v1;day;mrro;v20170208;a,e,f
