DATA_REF_SYNTAX;FREQUENCY;MODELING_REALM;TABLE_ID;ENS_MEMBER;VERSION_NO;VAR_NAME;SUBPANEL
cmip5.output1.BCC.bcc-csm1-1.historical;day;land;day;r1i1p1;v20120918;mrro;e,f
cmip5.output1.BCC.bcc-csm1-1.rcp26;day;land;day;r1i1p1;v20120918;mrro;e,f
cmip5.output1.BCC.bcc-csm1-1.rcp85;day;land;day;r1i1p1;v20120918;mrro;e,f
cmip5.output1.CCCma.CanESM2.historical;day;land;day;r1i1p1;v20120618;mrro;e,f
cmip5.output1.CCCma.CanESM2.rcp26;day;land;day;r1i1p1;v20120618;mrro;e,f
cmip5.output1.CCCma.CanESM2.rcp85;day;land;day;r1i1p1;v20120407;mrro;e,f
cmip5.output1.CMCC.CMCC-CM.historical;day;land;day;r1i1p1;v20120514;mrro;e,f
cmip5.output1.CMCC.CMCC-CM.rcp26;day;land;day;r1i1p1;v20120528;mrro;e,f
cmip5.output1.CMCC.CMCC-CM.rcp85;day;land;day;r1i1p1;v20170725;mrro;e,f
cmip5.output1.CMCC.CMCC-CMS.historical;day;land;day;r1i1p1;v20120717;mrro;e,f
cmip5.output1.CMCC.CMCC-CMS.rcp85;day;land;day;r1i1p1;v20120717;mrro;e,f
cmip5.output1.CNRM-CERFACS.CNRM-CM5.historical;day;land;day;r1i1p1;v20120530;mrro;e,f
cmip5.output1.CNRM-CERFACS.CNRM-CM5.rcp26;day;land;day;r1i1p1;v20121001;mrro;e,f
cmip5.output1.CNRM-CERFACS.CNRM-CM5.rcp85;day;land;day;r1i1p1;v20121001;mrro;e,f
cmip5.output1.CSIRO-QCCCE.CSIRO-Mk3-6-0.historical;day;land;day;r1i1p1;v1;mrro;e,f
cmip5.output1.CSIRO-QCCCE.CSIRO-Mk3-6-0.rcp26;day;land;day;r1i1p1;v1;mrro;e,f
cmip5.output1.CSIRO-QCCCE.CSIRO-Mk3-6-0.rcp85;day;land;day;r1i1p1;v1;mrro;e,f
cmip5.output1.LASG-CESS.FGOALS-g2.historical;day;land;day;r1i1p1;v20130126;mrro;e,f
cmip5.output1.LASG-CESS.FGOALS-g2.rcp26;day;land;day;r1i1p1;v2;mrro;e,f
cmip5.output1.LASG-CESS.FGOALS-g2.rcp85;day;land;day;r1i1p1;v2;mrro;e,f
cmip5.output1.NOAA-GFDL.GFDL-ESM2G.historical;day;land;day;r1i1p1;v20110601;mrro;e,f
cmip5.output1.NOAA-GFDL.GFDL-ESM2G.rcp26;day;land;day;r1i1p1;v20110601;mrro;e,f
cmip5.output1.NOAA-GFDL.GFDL-ESM2G.rcp85;day;land;day;r1i1p1;v20110601;mrro;e,f
cmip5.output1.NOAA-GFDL.GFDL-ESM2M.historical;day;land;day;r1i1p1;v20110601;mrro;e,f
cmip5.output1.NOAA-GFDL.GFDL-ESM2M.rcp26;day;land;day;r1i1p1;v20110601;mrro;e,f
cmip5.output1.NOAA-GFDL.GFDL-ESM2M.rcp85;day;land;day;r1i1p1;v20110601;mrro;e,f
cmip5.output1.INM.inmcm4.historical;day;land;day;r1i1p1;v20110323;mrro;e,f
cmip5.output1.INM.inmcm4.rcp85;day;land;day;r1i1p1;v20110323;mrro;e,f
cmip5.output1.MIROC.MIROC-ESM.historical;day;land;day;r1i1p1;v20111129;mrro;e,f
cmip5.output1.MIROC.MIROC-ESM.rcp26;day;land;day;r1i1p1;v20111129;mrro;e,f
cmip5.output1.MIROC.MIROC-ESM.rcp85;day;land;day;r1i1p1;v20111129;mrro;e,f
cmip5.output1.MIROC.MIROC5.historical;day;land;day;r1i1p1;v20120608;mrro;e,f
cmip5.output1.MIROC.MIROC5.rcp26;day;land;day;r1i1p1;v20120608;mrro;e,f
cmip5.output1.MIROC.MIROC5.rcp85;day;land;day;r1i1p1;v20120608;mrro;e,f
cmip5.output1.MPI-M.MPI-ESM-LR.historical;day;land;day;r1i1p1;v20111006;mrro;e,f
cmip5.output1.MPI-M.MPI-ESM-LR.rcp26;day;land;day;r1i1p1;v20111014;mrro;e,f
cmip5.output1.MPI-M.MPI-ESM-LR.rcp85;day;land;day;r1i1p1;v20111014;mrro;e,f
cmip5.output1.MPI-M.MPI-ESM-MR.historical;day;land;day;r1i1p1;v20120503;mrro;e,f
cmip5.output1.MPI-M.MPI-ESM-MR.rcp26;day;land;day;r1i1p1;v20120503;mrro;e,f
cmip5.output1.MPI-M.MPI-ESM-MR.rcp85;day;land;day;r1i1p1;v20120503;mrro;e,f
cmip5.output1.MRI.MRI-CGCM3.historical;day;land;day;r1i1p1;v20111019;mrro;e,f
cmip5.output1.MRI.MRI-CGCM3.rcp26;day;land;day;r1i1p1;v20111019;mrro;e,f
cmip5.output1.MRI.MRI-CGCM3.rcp85;day;land;day;r1i1p1;v20111019;mrro;e,f
cmip5.output1.MRI.MRI-ESM1.historical;day;land;day;r1i1p1;v20130307;mrro;e,f
cmip5.output1.MRI.MRI-ESM1.rcp85;day;land;day;r1i1p1;v20140210;mrro;e,f
cmip5.output1.NCC.NorESM1-M.historical;day;land;day;r1i1p1;v20110901;mrro;e,f
cmip5.output1.NCC.NorESM1-M.rcp26;day;land;day;r1i1p1;v20110901;mrro;e,f
cmip5.output1.NCC.NorESM1-M.rcp85;day;land;day;r1i1p1;v20110901;mrro;e,f
