DATA_REF_SYNTAX,SUB_EX_ID,TABLE_ID,ENS_MEMBER,GRID_LABEL,VERSION_NO,VAR_NAME
CMIP6.CMIP.CSIRO-ARCCSS.ACCESS-CM2.historical,none,day,r1i1p1f1,gn,v20191108,tasmax
CMIP6.ScenarioMIP.CSIRO-ARCCSS.ACCESS-CM2.ssp126,none,day,r1i1p1f1,gn,v20191108,tasmax
CMIP6.ScenarioMIP.CSIRO-ARCCSS.ACCESS-CM2.ssp585,none,day,r1i1p1f1,gn,v20191108,tasmax
CMIP6.CMIP.CSIRO.ACCESS-ESM1-5.historical,none,day,r1i1p1f1,gn,v20191115,tasmax
CMIP6.ScenarioMIP.CSIRO.ACCESS-ESM1-5.ssp126,none,day,r1i1p1f1,gn,v20191115,tasmax
CMIP6.ScenarioMIP.CSIRO.ACCESS-ESM1-5.ssp585,none,day,r1i1p1f1,gn,v20191115,tasmax
CMIP6.CMIP.AWI.AWI-CM-1-1-MR.historical,none,day,r1i1p1f1,gn,v20181218,tasmax
CMIP6.ScenarioMIP.AWI.AWI-CM-1-1-MR.ssp126,none,day,r1i1p1f1,gn,v20190529,tasmax
CMIP6.ScenarioMIP.AWI.AWI-CM-1-1-MR.ssp585,none,day,r1i1p1f1,gn,v20190529,tasmax
CMIP6.CMIP.BCC.BCC-CSM2-MR.historical,none,day,r1i1p1f1,gn,v20201019,tasmax
CMIP6.ScenarioMIP.BCC.BCC-CSM2-MR.ssp126,none,day,r1i1p1f1,gn,v20190315,tasmax
CMIP6.ScenarioMIP.BCC.BCC-CSM2-MR.ssp585,none,day,r1i1p1f1,gn,v20190318,tasmax
CMIP6.CMIP.CCCma.CanESM5.historical,none,day,r1i1p1f1,gn,v20190429,tasmax
CMIP6.ScenarioMIP.CCCma.CanESM5.ssp126,none,day,r1i1p1f1,gn,v20190429,tasmax
CMIP6.ScenarioMIP.CCCma.CanESM5.ssp585,none,day,r1i1p1f1,gn,v20190429,tasmax
CMIP6.CMIP.CNRM-CERFACS.CNRM-CM6-1.historical,none,day,r1i1p1f2,gr,v20180917,tasmax
CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-CM6-1.ssp126,none,day,r1i1p1f2,gr,v20190219,tasmax
CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-CM6-1.ssp585,none,day,r1i1p1f2,gr,v20190219,tasmax
