"","DATA_REF_SYNTAX","MODEL_ID","RCM_VERSION_ID","FREQUENCY","VAR_NAME","VERSION_NO"
"1","CORDEX.output.NAM-22.CCCma.CCCma-CanESM2.historical.r1i1p1","CCCma-CanRCM4","r2","day","tasmax","v20200831"
"3","CORDEX.output.NAM-22.CCCma.CCCma-CanESM2.rcp85.r1i1p1","CCCma-CanRCM4","r2","day","tasmax","v20200831"
"4","CORDEX.output.NAM-22.GERICS.MOHC-HadGEM2-ES.historical.r1i1p1","GERICS-REMO2015","v1","day","tasmax","v20191015"
"5","CORDEX.output.NAM-22.GERICS.MOHC-HadGEM2-ES.rcp26.r1i1p1","GERICS-REMO2015","v1","day","tasmax","v20191025"
"6","CORDEX.output.NAM-22.GERICS.MOHC-HadGEM2-ES.rcp85.r1i1p1","GERICS-REMO2015","v1","day","tasmax","v20191029"
"7","CORDEX.output.NAM-22.GERICS.MPI-M-MPI-ESM-LR.historical.r1i1p1","GERICS-REMO2015","v1","day","tasmax","v20191015"
"8","CORDEX.output.NAM-22.GERICS.MPI-M-MPI-ESM-LR.rcp26.r1i1p1","GERICS-REMO2015","v1","day","tasmax","v20191025"
"9","CORDEX.output.NAM-22.GERICS.MPI-M-MPI-ESM-LR.rcp85.r1i1p1","GERICS-REMO2015","v1","day","tasmax","v20191029"
"10","CORDEX.output.NAM-22.GERICS.NCC-NorESM1-M.historical.r1i1p1","GERICS-REMO2015","v1","day","tasmax","v20191015"
"11","CORDEX.output.NAM-22.GERICS.NCC-NorESM1-M.rcp26.r1i1p1","GERICS-REMO2015","v1","day","tasmax","v20191025"
"12","CORDEX.output.NAM-22.GERICS.NCC-NorESM1-M.rcp85.r1i1p1","GERICS-REMO2015","v1","day","tasmax","v20191029"
"15","CORDEX.output.NAM-22.ISU.NOAA-GFDL-GFDL-ESM2M.historical.r1i1p1","ISU-RegCM4","v4-4-rc8","day","tasmax","v20200831"
"16","CORDEX.output.NAM-22.ISU.NOAA-GFDL-GFDL-ESM2M.rcp85.r1i1p1","ISU-RegCM4","v4-4-rc8","day","tasmax","v20200831"
"17","CORDEX.output.NAM-22.NCAR.MOHC-HadGEM2-ES.historical.r1i1p1","NCAR-WRF","v3-5-1","day","tasmax","v20200831"
"18","CORDEX.output.NAM-22.NCAR.MOHC-HadGEM2-ES.rcp85.r1i1p1","NCAR-WRF","v3-5-1","day","tasmax","v20200831"
"19","CORDEX.output.NAM-22.NCAR.MPI-M-MPI-ESM-LR.historical.r1i1p1","NCAR-RegCM4","v4-4-rc8","day","tasmax","v20200831"
"20","CORDEX.output.NAM-22.NCAR.MPI-M-MPI-ESM-LR.rcp85.r1i1p1","NCAR-RegCM4","v4-4-rc8","day","tasmax","v20200831"
"23","CORDEX.output.NAM-22.OURANOS.CCCma-CanESM2.historical.r1i1p1","OURANOS-CRCM5","v1","day","tasmax","v20180221"
"25","CORDEX.output.NAM-22.OURANOS.CCCma-CanESM2.rcp85.r1i1p1","OURANOS-CRCM5","v1","day","tasmax","v20180417"
"26","CORDEX.output.NAM-22.OURANOS.CNRM-CERFACS-CNRM-CM5.historical.r1i1p1","OURANOS-CRCM5","v1","day","tasmax","v20181203"
"28","CORDEX.output.NAM-22.OURANOS.CNRM-CERFACS-CNRM-CM5.rcp85.r1i1p1","OURANOS-CRCM5","v1","day","tasmax","v20181211"
"29","CORDEX.output.NAM-22.OURANOS.MPI-M-MPI-ESM-LR.historical.r1i1p1","OURANOS-CRCM5","v1","day","tasmax","v20181017"
"31","CORDEX.output.NAM-22.OURANOS.MPI-M-MPI-ESM-LR.rcp85.r1i1p1","OURANOS-CRCM5","v1","day","tasmax","v20181107"
"32","CORDEX.output.NAM-22.OURANOS.NOAA-GFDL-GFDL-ESM2M.historical.r1i1p1","OURANOS-CRCM5","v1","day","tasmax","v20180626"
"34","CORDEX.output.NAM-22.OURANOS.NOAA-GFDL-GFDL-ESM2M.rcp85.r1i1p1","OURANOS-CRCM5","v1","day","tasmax","v20181008"
"35","CORDEX.output.NAM-22.UA.MPI-M-MPI-ESM-LR.historical.r1i1p1","UA-WRF","v3-5-1","day","tasmax","v20200831"
"36","CORDEX.output.NAM-22.UA.MPI-M-MPI-ESM-LR.rcp85.r1i1p1","UA-WRF","v3-5-1","day","tasmax","v20200831"
"37","CORDEX.output.NAM-22.UQAM.CCCma-CanESM2.historical.r1i1p1","UQAM-CRCM5","v1","day","tasmax","v20200831"
"38","CORDEX.output.NAM-22.UQAM.CCCma-CanESM2.rcp85.r1i1p1","UQAM-CRCM5","v1","day","tasmax","v20200831"
"41","CORDEX.output.NAM-22.UQAM.MPI-M-MPI-ESM-MR.historical.r1i1p1","UQAM-CRCM5","v1","day","tasmax","v20200831"
"42","CORDEX.output.NAM-22.UQAM.MPI-M-MPI-ESM-MR.rcp85.r1i1p1","UQAM-CRCM5","v1","day","tasmax","v20200831"
"43","CORDEX.output.NAM-44.DMI.ICHEC-EC-EARTH.historical.r3i1p1","DMI-HIRHAM5","v1","day","tasmax","v20131108"
"45","CORDEX.output.NAM-44.DMI.ICHEC-EC-EARTH.rcp85.r3i1p1","DMI-HIRHAM5","v1","day","tasmax","v20131108"
"46","CORDEX.output.NAM-44.SMHI.CCCma-CanESM2.historical.r1i1p1","SMHI-RCA4","v1","day","tasmax","v20140401"
"48","CORDEX.output.NAM-44.SMHI.CCCma-CanESM2.rcp85.r1i1p1","SMHI-RCA4","v1","day","tasmax","v20140401"
"49","CORDEX.output.NAM-44.SMHI.ICHEC-EC-EARTH.historical.r12i1p1","SMHI-RCA4","v1","day","tasmax","v20140401"
"50","CORDEX.output.NAM-44.SMHI.ICHEC-EC-EARTH.rcp26.r12i1p1","SMHI-RCA4","v1","day","tasmax","v20140401"
"52","CORDEX.output.NAM-44.SMHI.ICHEC-EC-EARTH.rcp85.r12i1p1","SMHI-RCA4","v1","day","tasmax","v20140401"
