"","DATA_REF_SYNTAX","MODEL_ID","RCM_VERSION_ID","FREQUENCY","VAR_NAME","VERSION_NO"
"1","CORDEX.output.SEA-22.GERICS.MOHC-HadGEM2-ES.historical.r1i1p1","GERICS-REMO2015","v1","day","tasmax","v20191015"
"2","CORDEX.output.SEA-22.GERICS.MOHC-HadGEM2-ES.rcp26.r1i1p1","GERICS-REMO2015","v1","day","tasmax","v20191025"
"3","CORDEX.output.SEA-22.GERICS.MOHC-HadGEM2-ES.rcp85.r1i1p1","GERICS-REMO2015","v1","day","tasmax","v20191029"
"4","CORDEX.output.SEA-22.GERICS.MPI-M-MPI-ESM-LR.historical.r1i1p1","GERICS-REMO2015","v1","day","tasmax","v20191015"
"5","CORDEX.output.SEA-22.GERICS.MPI-M-MPI-ESM-LR.rcp26.r1i1p1","GERICS-REMO2015","v1","day","tasmax","v20191025"
"6","CORDEX.output.SEA-22.GERICS.MPI-M-MPI-ESM-LR.rcp85.r1i1p1","GERICS-REMO2015","v1","day","tasmax","v20191029"
"7","CORDEX.output.SEA-22.GERICS.NCC-NorESM1-M.historical.r1i1p1","GERICS-REMO2015","v1","day","tasmax","v20191015"
"8","CORDEX.output.SEA-22.GERICS.NCC-NorESM1-M.rcp26.r1i1p1","GERICS-REMO2015","v1","day","tasmax","v20191025"
"9","CORDEX.output.SEA-22.GERICS.NCC-NorESM1-M.rcp85.r1i1p1","GERICS-REMO2015","v1","day","tasmax","v20191029"
"10","CORDEX.output.SEA-22.ICTP.MOHC-HadGEM2-ES.historical.r1i1p1","ICTP-RegCM4-7","v0","day","tasmax","v20190502"
"11","CORDEX.output.SEA-22.ICTP.MOHC-HadGEM2-ES.rcp26.r1i1p1","ICTP-RegCM4-7","v0","day","tasmax","v20190502"
"12","CORDEX.output.SEA-22.ICTP.MOHC-HadGEM2-ES.rcp85.r1i1p1","ICTP-RegCM4-7","v0","day","tasmax","v20190502"
"13","CORDEX.output.SEA-22.ICTP.MPI-M-MPI-ESM-MR.historical.r1i1p1","ICTP-RegCM4-7","v0","day","tasmax","v20190502"
"14","CORDEX.output.SEA-22.ICTP.MPI-M-MPI-ESM-MR.rcp26.r1i1p1","ICTP-RegCM4-7","v0","day","tasmax","v20190502"
"15","CORDEX.output.SEA-22.ICTP.MPI-M-MPI-ESM-MR.rcp85.r1i1p1","ICTP-RegCM4-7","v0","day","tasmax","v20190502"
"16","CORDEX.output.SEA-22.ICTP.NCC-NorESM1-M.historical.r1i1p1","ICTP-RegCM4-7","v0","day","tasmax","v20190502"
"17","CORDEX.output.SEA-22.ICTP.NCC-NorESM1-M.rcp26.r1i1p1","ICTP-RegCM4-7","v0","day","tasmax","v20190502"
"18","CORDEX.output.SEA-22.ICTP.NCC-NorESM1-M.rcp85.r1i1p1","ICTP-RegCM4-7","v0","day","tasmax","v20190502"
"19","CORDEX.output.SEA-22.RU-CORE.CNRM-CERFACS-CNRM-CM5.historical.r1i1p1","RU-CORE-RegCM4-3","v4","day","tasmax","v202006"
"23","CORDEX.output.SEA-22.RU-CORE.IPSL-IPSL-CM5A-LR.historical.r1i1p1","RU-CORE-RegCM4-3","v4","day","tasmax","v20171212"
"25","CORDEX.output.SEA-22.RU-CORE.IPSL-IPSL-CM5A-LR.rcp85.r1i1p1","RU-CORE-RegCM4-3","v4","day","tasmax","v20171212"
"29","CORDEX.output.SEA-22.RU-CORE.MPI-M-MPI-ESM-MR.historical.r1i1p1","RU-CORE-RegCM4-3","v4","day","tasmax","v20170912"
"31","CORDEX.output.SEA-22.RU-CORE.MPI-M-MPI-ESM-MR.rcp85.r1i1p1","RU-CORE-RegCM4-3","v4","day","tasmax","v20170912"
"32","CORDEX.output.SEA-22.SMHI.MOHC-HadGEM2-ES.historical.r1i1p1","SMHI-RCA4","v1","day","tasmax","v20180528"
"34","CORDEX.output.SEA-22.SMHI.MOHC-HadGEM2-ES.rcp85.r1i1p1","SMHI-RCA4","v1","day","tasmax","v20180528"
