DATA_REF_SYNTAX;MODEL_ID;RCM_VERSION_ID;FREQUENCY;VAR_NAME;VERSION_NO;SUBPANEL
CORDEX.output.EAS-22.GERICS.MOHC-HadGEM2-ES.historical.r1i1p1;REMO2015;v1;day;tasmax;v20191015;
CORDEX.output.EAS-22.GERICS.MOHC-HadGEM2-ES.historical.r1i1p1;REMO2015;v1;day;ps;v20191015;
CORDEX.output.EAS-22.GERICS.MOHC-HadGEM2-ES.historical.r1i1p1;REMO2015;v1;day;huss;v20191015;
CORDEX.output.EAS-22.GERICS.MOHC-HadGEM2-ES.rcp26.r1i1p1;REMO2015;v1;day;tasmax;v20191025;
CORDEX.output.EAS-22.GERICS.MOHC-HadGEM2-ES.rcp26.r1i1p1;REMO2015;v1;day;ps;v20191025;
CORDEX.output.EAS-22.GERICS.MOHC-HadGEM2-ES.rcp26.r1i1p1;REMO2015;v1;day;huss;v20191025;
CORDEX.output.EAS-22.GERICS.MOHC-HadGEM2-ES.rcp85.r1i1p1;REMO2015;v1;day;tasmax;v20191029;
CORDEX.output.EAS-22.GERICS.MOHC-HadGEM2-ES.rcp85.r1i1p1;REMO2015;v1;day;ps;v20191029;
CORDEX.output.EAS-22.GERICS.MOHC-HadGEM2-ES.rcp85.r1i1p1;REMO2015;v1;day;huss;v20191029;
CORDEX.output.EAS-22.ICTP.MOHC-HadGEM2-ES.historical.r1i1p1;RegCM4-4;v0;day;tasmax;v20190502;
CORDEX.output.EAS-22.ICTP.MOHC-HadGEM2-ES.historical.r1i1p1;RegCM4-4;v0;day;ps;v20190502;
CORDEX.output.EAS-22.ICTP.MOHC-HadGEM2-ES.historical.r1i1p1;RegCM4-4;v0;day;huss;v20190502;
CORDEX.output.EAS-22.ICTP.MOHC-HadGEM2-ES.rcp26.r1i1p1;RegCM4-4;v0;day;tasmax;v20190502;
CORDEX.output.EAS-22.ICTP.MOHC-HadGEM2-ES.rcp26.r1i1p1;RegCM4-4;v0;day;ps;v20190502;
CORDEX.output.EAS-22.ICTP.MOHC-HadGEM2-ES.rcp26.r1i1p1;RegCM4-4;v0;day;huss;v20190502;
CORDEX.output.EAS-22.ICTP.MOHC-HadGEM2-ES.rcp85.r1i1p1;RegCM4-4;v0;day;tasmax;v20190502;
CORDEX.output.EAS-22.ICTP.MOHC-HadGEM2-ES.rcp85.r1i1p1;RegCM4-4;v0;day;ps;v20190502;
CORDEX.output.EAS-22.ICTP.MOHC-HadGEM2-ES.rcp85.r1i1p1;RegCM4-4;v0;day;huss;v20190502;
CORDEX.output.EAS-22.GERICS.MPI-M-MPI-ESM-LR.historical.r1i1p1;REMO2015;v1;day;tasmax;v20191015;
CORDEX.output.EAS-22.GERICS.MPI-M-MPI-ESM-LR.historical.r1i1p1;REMO2015;v1;day;ps;v20191015;
CORDEX.output.EAS-22.GERICS.MPI-M-MPI-ESM-LR.historical.r1i1p1;REMO2015;v1;day;huss;v20191015;
CORDEX.output.EAS-22.GERICS.MPI-M-MPI-ESM-LR.rcp26.r1i1p1;REMO2015;v1;day;tasmax;v20191025;
CORDEX.output.EAS-22.GERICS.MPI-M-MPI-ESM-LR.rcp26.r1i1p1;REMO2015;v1;day;ps;v20191025;
CORDEX.output.EAS-22.GERICS.MPI-M-MPI-ESM-LR.rcp26.r1i1p1;REMO2015;v1;day;huss;v20191025;
CORDEX.output.EAS-22.GERICS.MPI-M-MPI-ESM-LR.rcp85.r1i1p1;REMO2015;v1;day;tasmax;v20191029;
CORDEX.output.EAS-22.GERICS.MPI-M-MPI-ESM-LR.rcp85.r1i1p1;REMO2015;v1;day;ps;v20191029;
CORDEX.output.EAS-22.GERICS.MPI-M-MPI-ESM-LR.rcp85.r1i1p1;REMO2015;v1;day;huss;v20191029;
CORDEX.output.EAS-22.ICTP.MPI-M-MPI-ESM-MR.historical.r1i1p1;RegCM4-4;v0;day;tasmax;v20190502;
CORDEX.output.EAS-22.ICTP.MPI-M-MPI-ESM-MR.historical.r1i1p1;RegCM4-4;v0;day;ps;v20190502;
CORDEX.output.EAS-22.ICTP.MPI-M-MPI-ESM-MR.historical.r1i1p1;RegCM4-4;v0;day;huss;v20190502;
CORDEX.output.EAS-22.ICTP.MPI-M-MPI-ESM-MR.rcp26.r1i1p1;RegCM4-4;v0;day;tasmax;v20190502;
CORDEX.output.EAS-22.ICTP.MPI-M-MPI-ESM-MR.rcp26.r1i1p1;RegCM4-4;v0;day;ps;v20190502;
CORDEX.output.EAS-22.ICTP.MPI-M-MPI-ESM-MR.rcp26.r1i1p1;RegCM4-4;v0;day;huss;v20190502;
CORDEX.output.EAS-22.ICTP.MPI-M-MPI-ESM-MR.rcp85.r1i1p1;RegCM4-4;v0;day;tasmax;v20190502;
CORDEX.output.EAS-22.ICTP.MPI-M-MPI-ESM-MR.rcp85.r1i1p1;RegCM4-4;v0;day;ps;v20190502;
CORDEX.output.EAS-22.ICTP.MPI-M-MPI-ESM-MR.rcp85.r1i1p1;RegCM4-4;v0;day;huss;v20190502;
CORDEX.output.EAS-22.GERICS.NCC-NorESM1-M.historical.r1i1p1;REMO2015;v1;day;tasmax;v20191015;
CORDEX.output.EAS-22.GERICS.NCC-NorESM1-M.historical.r1i1p1;REMO2015;v1;day;ps;v20191015;
CORDEX.output.EAS-22.GERICS.NCC-NorESM1-M.historical.r1i1p1;REMO2015;v1;day;huss;v20191015;
CORDEX.output.EAS-22.GERICS.NCC-NorESM1-M.rcp26.r1i1p1;REMO2015;v1;day;tasmax;v20191025;
CORDEX.output.EAS-22.GERICS.NCC-NorESM1-M.rcp26.r1i1p1;REMO2015;v1;day;ps;v20191025;
CORDEX.output.EAS-22.GERICS.NCC-NorESM1-M.rcp26.r1i1p1;REMO2015;v1;day;huss;v20191025;
CORDEX.output.EAS-22.GERICS.NCC-NorESM1-M.rcp85.r1i1p1;REMO2015;v1;day;tasmax;v20191029;
CORDEX.output.EAS-22.GERICS.NCC-NorESM1-M.rcp85.r1i1p1;REMO2015;v1;day;ps;v20191029;
CORDEX.output.EAS-22.GERICS.NCC-NorESM1-M.rcp85.r1i1p1;REMO2015;v1;day;huss;v20191029;
CORDEX.output.EAS-22.ICTP.NCC-NorESM1-M.historical.r1i1p1;RegCM4-4;v0;day;tasmax;v20190502;
CORDEX.output.EAS-22.ICTP.NCC-NorESM1-M.historical.r1i1p1;RegCM4-4;v0;day;ps;v20190502;
CORDEX.output.EAS-22.ICTP.NCC-NorESM1-M.historical.r1i1p1;RegCM4-4;v0;day;huss;v20190502;
CORDEX.output.EAS-22.ICTP.NCC-NorESM1-M.rcp26.r1i1p1;RegCM4-4;v0;day;tasmax;v20190502;
CORDEX.output.EAS-22.ICTP.NCC-NorESM1-M.rcp26.r1i1p1;RegCM4-4;v0;day;ps;v20190502;
