DATA_REF_SYNTAX,FREQUENCY,MODELING_REALM,day,ENS_MEMBER,VERSION_NO,VAR_NAME
CMIP5.output.CSIRO-BOM.ACCESS1-0.historical,day,atmos,day,r1i1p1,v20120115,pr
CMIP5.output.CSIRO-BOM.ACCESS1.3.historical,day,atmos,day,r1i1p1,v20120413,pr
CMIP5.output.BCC.bcc-csm1-1-m.historical,day,atmos,day,r1i1p1,NA,pr
CMIP5.output.BCC.bcc-csm1-1.historical,day,atmos,day,r1i1p1,NA,pr
CMIP5.output.BNU.BNU-ESM.historical,day,atmos,day,r1i1p1,NA,pr
CMIP5.output.CCCma.CanESM2.historical,day,atmos,day,r1i1p1,NA,pr
CMIP5.output.NCAR.CCSM4.historical,day,atmos,day,r1i1p1,NA,pr
CMIP5.output.NSF-DOE-NCAR.CESM1-BGC.historical,day,atmos,day,r1i1p1,NA,pr
CMIP5.output.CMCC.CMCC-CM.historical,day,atmos,day,r1i1p1,NA,pr
CMIP5.output.CMCC.CMCC-CMS.historical,day,atmos,day,r1i1p1,NA,pr
CMIP5.output.CNRM-CERFACS.CNRM-CM5.historical,day,atmos,day,r1i1p1,NA,pr
CMIP5.output.CSIRO-QCCCE.CSIRO-Mk3-6-0.historical,day,atmos,day,r1i1p1,v20110518,pr
CMIP5.output.ICHEC.EC-EARTH.historical,day,atmos,day,r12i1p1,NA,pr
CMIP5.output.LASG-CESS.FGOALS_g2.historical,day,atmos,day,r1i1p1,NA,pr
CMIP5.output1.NOAA GFDL.GFDL-CM3.historical,day,atmos,day,r1i1p1,NA,pr
CMIP5.output1.NOAA GFDL.GFDL-ESM2G.historical,day,atmos,day,r1i1p1,NA,pr
CMIP5.output1.NOAA GFDL.GFDL-ESM2M.historical,day,atmos,day,r1i1p1,NA,pr
CMIP5.output.MOHC.HadGEM2-CC.historical,day,atmos,day,r1i1p1,NA,pr
CMIP5.output.MOHC.HadGEM2-ES.historical,day,atmos,day,r1i1p1,NA,pr
CMIP5.output.INM.inmcm4.historical,day,atmos,day,r1i1p1,NA,pr
CMIP5.output.IPSL.IPSL-CM5A-LR.historical,day,atmos,day,r1i1p1,NA,pr
CMIP5.output.IPSL.IPSL-CM5A-MR.historical,day,atmos,day,r1i1p1,NA,pr
CMIP5.output.IPSL.IPSL-CM5B-LR.historical,day,atmos,day,r1i1p1,NA,pr
CMIP5.output.MIROC.MIROC-ESM-CHEM.historical,day,atmos,day,r1i1p1,NA,pr
CMIP5.output.MIROC.MIROC-ESM.historical,day,atmos,day,r1i1p1,NA,pr
CMIP5.output.MIROC.MIROC5.historical,day,atmos,day,r1i1p1,NA,pr
CMIP5.output.MPI-M.MPI-ESM-LR.historical,day,atmos,day,r1i1p1,NA,pr
CMIP5.output.MPI-M.MPI-ESM-MR.historical,day,atmos,day,r1i1p1,NA,pr
CMIP5.output.MRI.MRI-CGCM3.historical,day,atmos,day,r1i1p1,NA,pr
CMIP5.output.NCC.NorESM1-M.historical,day,atmos,day,r1i1p1,NA,pr
CMIP5.output.BCC.bcc-csm1-1-m.rcp26,day,atmos,day,r1i1p1,NA,pr
