"","DATA_REF_SYNTAX","SUB_EX_ID","TABLE_ID","ENS_MEMBER","GRID_LABEL","VERSION_NO","VAR_NAME"
"12","CMIP6.CMIP.CSIRO-ARCCSS.ACCESS-CM2.historical","none","day","r1i1p1f1","gn","v20191108","pr"
"78","CMIP6.ScenarioMIP.CSIRO-ARCCSS.ACCESS-CM2.ssp126","none","day","r1i1p1f1","gn","v20191108","pr"
"81","CMIP6.ScenarioMIP.CSIRO-ARCCSS.ACCESS-CM2.ssp585","none","day","r1i1p1f1","gn","v20191108","pr"
"11","CMIP6.CMIP.CSIRO.ACCESS-ESM1-5.historical","none","day","r1i1p1f1","gn","v20191115","pr"
"74","CMIP6.ScenarioMIP.CSIRO.ACCESS-ESM1-5.ssp126","none","day","r1i1p1f1","gn","v20191115","pr"
"77","CMIP6.ScenarioMIP.CSIRO.ACCESS-ESM1-5.ssp585","none","day","r1i1p1f1","gn","v20191115","pr"
"2","CMIP6.CMIP.BCC.BCC-CSM2-MR.historical","none","day","r1i1p1f1","gn","v20181126","pr"
"38","CMIP6.ScenarioMIP.BCC.BCC-CSM2-MR.ssp126","none","day","r1i1p1f1","gn","v20190315","pr"
"41","CMIP6.ScenarioMIP.BCC.BCC-CSM2-MR.ssp585","none","day","r1i1p1f1","gn","v20190318","pr"
"3","CMIP6.CMIP.CAMS.CAMS-CSM1-0.historical","none","day","r2i1p1f1","gn","v20200716","pr"
"42","CMIP6.ScenarioMIP.CAMS.CAMS-CSM1-0.ssp126","none","day","r2i1p1f1","gn","v20191106","pr"
"45","CMIP6.ScenarioMIP.CAMS.CAMS-CSM1-0.ssp585","none","day","r2i1p1f1","gn","v20191106","pr"
"5","CMIP6.CMIP.CCCma.CanESM5.historical","none","day","r1i1p1f1","gn","v20190429","pr"
"50","CMIP6.ScenarioMIP.CCCma.CanESM5.ssp126","none","day","r1i1p1f1","gn","v20190429","pr"
"54","CMIP6.ScenarioMIP.CCCma.CanESM5.ssp585","none","day","r1i1p1f1","gn","v20190429","pr"
"30","CMIP6.CMIP.NCAR.CESM2-WACCM.historical","none","day","r1i1p1f1","gn","v20190415","pr"
"143","CMIP6.ScenarioMIP.NCAR.CESM2-WACCM.ssp126","none","day","r1i1p1f1","gn","v20190815","pr"
"146","CMIP6.ScenarioMIP.NCAR.CESM2-WACCM.ssp585","none","day","r1i1p1f1","gn","v20200702","pr"
"29","CMIP6.CMIP.NCAR.CESM2.historical","none","day","r4i1p1f1","gn","v20190401","pr"
"139","CMIP6.ScenarioMIP.NCAR.CESM2.ssp126","none","day","r4i1p1f1","gn","v20200528","pr"
"142","CMIP6.ScenarioMIP.NCAR.CESM2.ssp585","none","day","r4i1p1f1","gn","v20200528","pr"
"7","CMIP6.CMIP.CMCC.CMCC-CM2-SR5.historical","none","day","r1i1p1f1","gn","v20200616","pr"
