"","DATA_REF_SYNTAX","MODEL_ID","RCM_VERSION_ID","FREQUENCY","VAR_NAME","VERSION_NO"
"1","CORDEX.output.EAS-22.GERICS.MOHC-HadGEM2-ES.historical.r1i1p1","GERICS-REMO2015","v1","day","pr","v20191015"
"2","CORDEX.output.EAS-22.GERICS.MOHC-HadGEM2-ES.rcp26.r1i1p1","GERICS-REMO2015","v1","day","pr","v20191025"
"3","CORDEX.output.EAS-22.GERICS.MOHC-HadGEM2-ES.rcp85.r1i1p1","GERICS-REMO2015","v1","day","pr","v20191029"
"4","CORDEX.output.EAS-22.GERICS.MPI-M-MPI-ESM-LR.historical.r1i1p1","GERICS-REMO2015","v1","day","pr","v20191015"
"5","CORDEX.output.EAS-22.GERICS.MPI-M-MPI-ESM-LR.rcp26.r1i1p1","GERICS-REMO2015","v1","day","pr","v20191025"
"6","CORDEX.output.EAS-22.GERICS.MPI-M-MPI-ESM-LR.rcp85.r1i1p1","GERICS-REMO2015","v1","day","pr","v20191029"
"7","CORDEX.output.EAS-22.GERICS.NCC-NorESM1-M.historical.r1i1p1","GERICS-REMO2015","v1","day","pr","v20191015"
"8","CORDEX.output.EAS-22.GERICS.NCC-NorESM1-M.rcp26.r1i1p1","GERICS-REMO2015","v1","day","pr","v20191025"
"9","CORDEX.output.EAS-22.GERICS.NCC-NorESM1-M.rcp85.r1i1p1","GERICS-REMO2015","v1","day","pr","v20191029"
"10","CORDEX.output.EAS-22.ICTP.MOHC-HadGEM2-ES.historical.r1i1p1","ICTP-RegCM4-4","v0","day","pr","v20190502"
"11","CORDEX.output.EAS-22.ICTP.MOHC-HadGEM2-ES.rcp26.r1i1p1","ICTP-RegCM4-4","v0","day","pr","v20190502"
"12","CORDEX.output.EAS-22.ICTP.MOHC-HadGEM2-ES.rcp85.r1i1p1","ICTP-RegCM4-4","v0","day","pr","v20190502"
"13","CORDEX.output.EAS-22.ICTP.NCC-NorESM1-M.historical.r1i1p1","ICTP-RegCM4-4","v0","day","pr","v20190502"
"14","CORDEX.output.EAS-22.ICTP.NCC-NorESM1-M.rcp26.r1i1p1","ICTP-RegCM4-4","v0","day","pr","v20190502"
"15","CORDEX.output.EAS-22.ICTP.NCC-NorESM1-M.rcp85.r1i1p1","ICTP-RegCM4-4","v0","day","pr","v20190502"
"16","CORDEX.output.EAS-44.CLMcom.CNRM-CERFACS-CNRM-CM5.historical.r1i1p1","CLMcom-CCLM5-0-2","v1","day","pr","v20171115"
"18","CORDEX.output.EAS-44.CLMcom.CNRM-CERFACS-CNRM-CM5.rcp85.r1i1p1","CLMcom-CCLM5-0-2","v1","day","pr","v20171115"
"19","CORDEX.output.EAS-44.CLMcom.ICHEC-EC-EARTH.historical.r12i1p1","CLMcom-CCLM5-0-2","v1","day","pr","v20171009"
"21","CORDEX.output.EAS-44.CLMcom.ICHEC-EC-EARTH.rcp85.r12i1p1","CLMcom-CCLM5-0-2","v1","day","pr","v20171009"
"22","CORDEX.output.EAS-44.CLMcom.MOHC-HadGEM2-ES.historical.r1i1p1","CLMcom-CCLM5-0-2","v1","day","pr","v20171115"
"24","CORDEX.output.EAS-44.CLMcom.MOHC-HadGEM2-ES.rcp85.r1i1p1","CLMcom-CCLM5-0-2","v1","day","pr","v20171115"
"25","CORDEX.output.EAS-44.CLMcom.MPI-M-MPI-ESM-LR.historical.r1i1p1","CLMcom-CCLM5-0-2","v1","day","pr","v20170914"
"27","CORDEX.output.EAS-44.CLMcom.MPI-M-MPI-ESM-LR.rcp85.r1i1p1","CLMcom-CCLM5-0-2","v1","day","pr","v20170914"
"28","CORDEX.output.EAS-44.DMI.ICHEC-EC-EARTH.historical.r3i1p1","DMI-HIRHAM5","v1","day","pr","v20150504"
"30","CORDEX.output.EAS-44.DMI.ICHEC-EC-EARTH.rcp85.r3i1p1","DMI-HIRHAM5","v1","day","pr","v20150504"
