"","DATA_REF_SYNTAX","MODEL_ID","RCM_VERSION_ID","FREQUENCY","VAR_NAME","VERSION_NO"
"1","CORDEX.output.SAM-22.GERICS.MOHC-HadGEM2-ES.historical.r1i1p1","GERICS-REMO2015","v1","day","pr","v20191015"
"2","CORDEX.output.SAM-22.GERICS.MOHC-HadGEM2-ES.rcp26.r1i1p1","GERICS-REMO2015","v1","day","pr","v20191025"
"3","CORDEX.output.SAM-22.GERICS.MOHC-HadGEM2-ES.rcp85.r1i1p1","GERICS-REMO2015","v1","day","pr","v20191029"
"4","CORDEX.output.SAM-22.GERICS.MPI-M-MPI-ESM-LR.historical.r1i1p1","GERICS-REMO2015","v1","day","pr","v20191015"
"5","CORDEX.output.SAM-22.GERICS.MPI-M-MPI-ESM-LR.rcp26.r1i1p1","GERICS-REMO2015","v1","day","pr","v20191025"
"6","CORDEX.output.SAM-22.GERICS.MPI-M-MPI-ESM-LR.rcp85.r1i1p1","GERICS-REMO2015","v1","day","pr","v20191029"
"7","CORDEX.output.SAM-22.GERICS.NCC-NorESM1-M.historical.r1i1p1","GERICS-REMO2015","v1","day","pr","v20191015"
"8","CORDEX.output.SAM-22.GERICS.NCC-NorESM1-M.rcp26.r1i1p1","GERICS-REMO2015","v1","day","pr","v20191025"
"9","CORDEX.output.SAM-22.GERICS.NCC-NorESM1-M.rcp85.r1i1p1","GERICS-REMO2015","v1","day","pr","v20191029"
"10","CORDEX.output.SAM-22.ICTP.MOHC-HadGEM2-ES.historical.r1i1p1","ICTP-RegCM4-7","v0","day","pr","v20190502"
"11","CORDEX.output.SAM-22.ICTP.MOHC-HadGEM2-ES.rcp26.r1i1p1","ICTP-RegCM4-7","v0","day","pr","v20190502"
"12","CORDEX.output.SAM-22.ICTP.MOHC-HadGEM2-ES.rcp85.r1i1p1","ICTP-RegCM4-7","v0","day","pr","v20190502"
"13","CORDEX.output.SAM-22.ICTP.MPI-M-MPI-ESM-MR.historical.r1i1p1","ICTP-RegCM4-7","v0","day","pr","v20190502"
"14","CORDEX.output.SAM-22.ICTP.MPI-M-MPI-ESM-MR.rcp26.r1i1p1","ICTP-RegCM4-7","v0","day","pr","v20190502"
"15","CORDEX.output.SAM-22.ICTP.MPI-M-MPI-ESM-MR.rcp85.r1i1p1","ICTP-RegCM4-7","v0","day","pr","v20190502"
"16","CORDEX.output.SAM-22.ICTP.NCC-NorESM1-M.historical.r1i1p1","ICTP-RegCM4-7","v0","day","pr","v20190502"
"17","CORDEX.output.SAM-22.ICTP.NCC-NorESM1-M.rcp26.r1i1p1","ICTP-RegCM4-7","v0","day","pr","v20190502"
"18","CORDEX.output.SAM-22.ICTP.NCC-NorESM1-M.rcp85.r1i1p1","ICTP-RegCM4-7","v0","day","pr","v20190502"
"19","CORDEX.output.SAM-44.MPI-CSC.MPI-M-MPI-ESM-LR.historical.r1i1p1","MPI-CSC-REMO2009","v1","day","pr","v20160818"
"20","CORDEX.output.SAM-44.MPI-CSC.MPI-M-MPI-ESM-LR.rcp26.r1i1p1","MPI-CSC-REMO2009","v1","day","pr","v20160902"
"22","CORDEX.output.SAM-44.MPI-CSC.MPI-M-MPI-ESM-LR.rcp85.r1i1p1","MPI-CSC-REMO2009","v1","day","pr","v20160902"
"23","CORDEX.output.SAM-44.SMHI.CCCma-CanESM2.historical.r1i1p1","SMHI-RCA4","v3","day","pr","v20170705"
"25","CORDEX.output.SAM-44.SMHI.CCCma-CanESM2.rcp85.r1i1p1","SMHI-RCA4","v3","day","pr","v20170705"
"26","CORDEX.output.SAM-44.SMHI.CSIRO-QCCCE-CSIRO-Mk3-6-0.historical.r1i1p1","SMHI-RCA4","v3","day","pr","v20170705"
"28","CORDEX.output.SAM-44.SMHI.CSIRO-QCCCE-CSIRO-Mk3-6-0.rcp85.r1i1p1","SMHI-RCA4","v3","day","pr","v20170705"
"29","CORDEX.output.SAM-44.SMHI.ICHEC-EC-EARTH.historical.r12i1p1","SMHI-RCA4","v3","day","pr","v20140225"
"30","CORDEX.output.SAM-44.SMHI.ICHEC-EC-EARTH.rcp26.r12i1p1","SMHI-RCA4","v3","day","pr","v20150521"
"32","CORDEX.output.SAM-44.SMHI.ICHEC-EC-EARTH.rcp85.r12i1p1","SMHI-RCA4","v3","day","pr","v20140225"
"33","CORDEX.output.SAM-44.SMHI.IPSL-IPSL-CM5A-MR.historical.r1i1p1","SMHI-RCA4","v3","day","pr","v20170705"
"35","CORDEX.output.SAM-44.SMHI.IPSL-IPSL-CM5A-MR.rcp85.r1i1p1","SMHI-RCA4","v3","day","pr","v20170705"
