"","DATA_REF_SYNTAX","MODEL_ID","RCM_VERSION_ID","FREQUENCY","VAR_NAME","VERSION_NO"
"1","CORDEX.output.WAS-22.CLMcom-ETH.ICHEC-EC-EARTH.historical.r12i1p1","CLMcom-ETH-COSMO-crCLIM-v1-1","v1","day","pr","v20191219"
"2","CORDEX.output.WAS-22.CLMcom-ETH.ICHEC-EC-EARTH.rcp85.r12i1p1","CLMcom-ETH-COSMO-crCLIM-v1-1","v1","day","pr","v20200103"
"3","CORDEX.output.WAS-22.CLMcom-ETH.MPI-M-MPI-ESM-LR.historical.r1i1p1","CLMcom-ETH-COSMO-crCLIM-v1-1","v1","day","pr","v20200103"
"4","CORDEX.output.WAS-22.CLMcom-ETH.MPI-M-MPI-ESM-LR.rcp26.r1i1p1","CLMcom-ETH-COSMO-crCLIM-v1-1","v1","day","pr","v20200211"
"5","CORDEX.output.WAS-22.CLMcom-ETH.MPI-M-MPI-ESM-LR.rcp85.r1i1p1","CLMcom-ETH-COSMO-crCLIM-v1-1","v1","day","pr","v20200106"
"6","CORDEX.output.WAS-22.CLMcom-ETH.NCC-NorESM1-M.historical.r1i1p1","CLMcom-ETH-COSMO-crCLIM-v1-1","v1","day","pr","v20191217"
"7","CORDEX.output.WAS-22.CLMcom-ETH.NCC-NorESM1-M.rcp26.r1i1p1","CLMcom-ETH-COSMO-crCLIM-v1-1","v1","day","pr","v20200304"
"8","CORDEX.output.WAS-22.CLMcom-ETH.NCC-NorESM1-M.rcp85.r1i1p1","CLMcom-ETH-COSMO-crCLIM-v1-1","v1","day","pr","v20191217"
"9","CORDEX.output.WAS-22.GERICS.MOHC-HadGEM2-ES.historical.r1i1p1","GERICS-REMO2015","v1","day","pr","v20191015"
"10","CORDEX.output.WAS-22.GERICS.MOHC-HadGEM2-ES.rcp26.r1i1p1","GERICS-REMO2015","v1","day","pr","v20191025"
"11","CORDEX.output.WAS-22.GERICS.MOHC-HadGEM2-ES.rcp85.r1i1p1","GERICS-REMO2015","v1","day","pr","v20191029"
"12","CORDEX.output.WAS-22.GERICS.MPI-M-MPI-ESM-LR.historical.r1i1p1","GERICS-REMO2015","v1","day","pr","v20191015"
"13","CORDEX.output.WAS-22.GERICS.MPI-M-MPI-ESM-LR.rcp26.r1i1p1","GERICS-REMO2015","v1","day","pr","v20191025"
"14","CORDEX.output.WAS-22.GERICS.MPI-M-MPI-ESM-LR.rcp85.r1i1p1","GERICS-REMO2015","v1","day","pr","v20191029"
"15","CORDEX.output.WAS-22.GERICS.NCC-NorESM1-M.historical.r1i1p1","GERICS-REMO2015","v1","day","pr","v20191015"
"16","CORDEX.output.WAS-22.GERICS.NCC-NorESM1-M.rcp26.r1i1p1","GERICS-REMO2015","v1","day","pr","v20191025"
"17","CORDEX.output.WAS-22.GERICS.NCC-NorESM1-M.rcp85.r1i1p1","GERICS-REMO2015","v1","day","pr","v20191029"
"18","CORDEX.output.WAS-22.ORNL.MIROC-MIROC5.historical.r1i1p1","ORNL-RegCM4-7","v0","day","pr","v20190502"
"19","CORDEX.output.WAS-22.ORNL.MIROC-MIROC5.rcp26.r1i1p1","ORNL-RegCM4-7","v0","day","pr","v20190502"
"20","CORDEX.output.WAS-22.ORNL.MIROC-MIROC5.rcp85.r1i1p1","ORNL-RegCM4-7","v0","day","pr","v20190502"
"21","CORDEX.output.WAS-22.ORNL.MPI-M-MPI-ESM-MR.historical.r1i1p1","ORNL-RegCM4-7","v0","day","pr","v20190502"
"22","CORDEX.output.WAS-22.ORNL.MPI-M-MPI-ESM-MR.rcp26.r1i1p1","ORNL-RegCM4-7","v0","day","pr","v20190502"
"23","CORDEX.output.WAS-22.ORNL.MPI-M-MPI-ESM-MR.rcp85.r1i1p1","ORNL-RegCM4-7","v0","day","pr","v20190502"
"24","CORDEX.output.WAS-22.ORNL.NCC-NorESM1-M.historical.r1i1p1","ORNL-RegCM4-7","v0","day","pr","v20190502"
"25","CORDEX.output.WAS-22.ORNL.NCC-NorESM1-M.rcp26.r1i1p1","ORNL-RegCM4-7","v0","day","pr","v20190502"
"26","CORDEX.output.WAS-22.ORNL.NCC-NorESM1-M.rcp85.r1i1p1","ORNL-RegCM4-7","v0","day","pr","v20190502"
"27","CORDEX.output.WAS-44.IITM.CCCma-CanESM2.historical.r1i1p1","IITM-RegCM4-4","v5","day","pr","v20160824"
"29","CORDEX.output.WAS-44.IITM.CCCma-CanESM2.rcp85.r1i1p1","IITM-RegCM4-4","v5","day","pr","v20160825"
