"","DATA_REF_SYNTAX","SUB_EX_ID","ENS_MEMBER","TABLE_ID","VAR_NAME","GRID_LABEL","VERSION_NO"
"1","CMIP6.CMIP.AS-RCEC.TaiESM1.historical","none","r1i1p1f1","day","pr","gn","v20200626"
"2","CMIP6.CMIP.BCC.BCC-CSM2-MR.historical","none","r1i1p1f1","day","pr","gn","v20181126"
"3","CMIP6.CMIP.CAMS.CAMS-CSM1-0.historical","none","r2i1p1f1","day","pr","gn","v20200716"
"4","CMIP6.CMIP.CAS.FGOALS-g3.historical","none","r1i1p1f1","day","pr","gn","v20190826"
"5","CMIP6.CMIP.CCCma.CanESM5.historical","none","r1i1p1f1","day","pr","gn","v20190429"
"6","CMIP6.CMIP.CCCR-IITM.IITM-ESM.historical","none","r1i1p1f1","day","pr","gn","v20191226"
"7","CMIP6.CMIP.CMCC.CMCC-CM2-SR5.historical","none","r1i1p1f1","day","pr","gn","v20200616"
"8","CMIP6.CMIP.CNRM-CERFACS.CNRM-CM6-1.historical","none","r1i1p1f2","day","pr","gr","v20180917"
"9","CMIP6.CMIP.CNRM-CERFACS.CNRM-CM6-1-HR.historical","none","r1i1p1f2","day","pr","gr","v20191021"
"10","CMIP6.CMIP.CNRM-CERFACS.CNRM-ESM2-1.historical","none","r1i1p1f2","day","pr","gr","v20181206"
"11","CMIP6.CMIP.CSIRO.ACCESS-ESM1-5.historical","none","r1i1p1f1","day","pr","gn","v20191115"
"12","CMIP6.CMIP.CSIRO-ARCCSS.ACCESS-CM2.historical","none","r1i1p1f1","day","pr","gn","v20191108"
"13","CMIP6.CMIP.EC-Earth-Consortium.EC-Earth3.historical","none","r1i1p1f1","day","pr","gr","v20200310"
"14","CMIP6.CMIP.EC-Earth-Consortium.EC-Earth3-Veg.historical","none","r1i1p1f1","day","pr","gr","v20200225"
"15","CMIP6.CMIP.EC-Earth-Consortium.EC-Earth3-Veg-LR.historical","none","r1i1p1f1","day","pr","gr","v20200217"
"16","CMIP6.CMIP.INM.INM-CM4-8.historical","none","r1i1p1f1","day","pr","gr1","v20190530"
"17","CMIP6.CMIP.INM.INM-CM5-0.historical","none","r1i1p1f1","day","pr","gr1","v20190610"
"18","CMIP6.CMIP.IPSL.IPSL-CM6A-LR.historical","none","r1i1p1f1","day","pr","gr","v20180803"
"19","CMIP6.CMIP.KIOST.KIOST-ESM.historical","none","r1i1p1f1","day","pr","gr1","v20191202"
"20","CMIP6.CMIP.MIROC.MIROC6.historical","none","r1i1p1f1","day","pr","gn","v20191016"
"21","CMIP6.CMIP.MIROC.MIROC-ES2L.historical","none","r1i1p1f2","day","pr","gn","v20191129"
"22","CMIP6.CMIP.MOHC.HadGEM3-GC31-LL.historical","none","r1i1p1f3","day","pr","gn","v20190624"
"23","CMIP6.CMIP.MOHC.UKESM1-0-LL.historical","none","r1i1p1f2","day","pr","gn","v20190627"
"24","CMIP6.CMIP.MPI-M.MPI-ESM1-2-HR.historical","none","r1i1p1f1","day","pr","gn","v20190710"
"25","CMIP6.CMIP.MPI-M.MPI-ESM1-2-LR.historical","none","r1i1p1f1","day","pr","gn","v20190710"
"26","CMIP6.CMIP.MRI.MRI-ESM2-0.historical","none","r1i1p1f1","day","pr","gn","v20190603"
"27","CMIP6.CMIP.NCAR.CESM2.historical","none","r4i1p1f1","day","pr","gn","v20190401"
"28","CMIP6.CMIP.NCAR.CESM2-WACCM.historical","none","r1i1p1f1","day","pr","gn","v20190415"
"29","CMIP6.CMIP.NCC.NorESM2-LM.historical","none","r1i1p1f1","day","pr","gn","v20190815"
"30","CMIP6.CMIP.NCC.NorESM2-MM.historical","none","r1i1p1f1","day","pr","gn","v20191108"
"31","CMIP6.CMIP.NIMS-KMA.KACE-1-0-G.historical","none","r2i1p1f1","day","pr","gr","v20190920"
"32","CMIP6.CMIP.NOAA-GFDL.GFDL-CM4.historical","none","r1i1p1f1","day","pr","gr1","v20180701"
"33","CMIP6.CMIP.NOAA-GFDL.GFDL-ESM4.historical","none","r1i1p1f1","day","pr","gr1","v20190726"
"34","CMIP6.CMIP.NUIST.NESM3.historical","none","r1i1p1f1","day","pr","gn","v20190812"
"35","CMIP6.ScenarioMIP.AS-RCEC.TaiESM1.ssp585","none","r1i1p1f1","day","pr","gn","v20200902"
"36","CMIP6.ScenarioMIP.BCC.BCC-CSM2-MR.ssp126","none","r1i1p1f1","day","pr","gn","v20190315"
"37","CMIP6.ScenarioMIP.BCC.BCC-CSM2-MR.ssp245","none","r1i1p1f1","day","pr","gn","v20190318"
"38","CMIP6.ScenarioMIP.BCC.BCC-CSM2-MR.ssp585","none","r1i1p1f1","day","pr","gn","v20190318"
"39","CMIP6.ScenarioMIP.CAMS.CAMS-CSM1-0.ssp126","none","r2i1p1f1","day","pr","gn","v20191106"
"40","CMIP6.ScenarioMIP.CAMS.CAMS-CSM1-0.ssp245","none","r2i1p1f1","day","pr","gn","v20200720"
"41","CMIP6.ScenarioMIP.CAMS.CAMS-CSM1-0.ssp585","none","r2i1p1f1","day","pr","gn","v20191106"
"42","CMIP6.ScenarioMIP.CAS.FGOALS-g3.ssp126","none","r1i1p1f1","day","pr","gn","v20200927"
"43","CMIP6.ScenarioMIP.CAS.FGOALS-g3.ssp245","none","r1i1p1f1","day","pr","gn","v20190818"
"44","CMIP6.ScenarioMIP.CAS.FGOALS-g3.ssp585","none","r1i1p1f1","day","pr","gn","v20190818"
"45","CMIP6.ScenarioMIP.CCCma.CanESM5.ssp126","none","r1i1p1f1","day","pr","gn","v20190429"
"46","CMIP6.ScenarioMIP.CCCma.CanESM5.ssp245","none","r1i1p1f1","day","pr","gn","v20190429"
"47","CMIP6.ScenarioMIP.CCCma.CanESM5.ssp585","none","r1i1p1f1","day","pr","gn","v20190429"
"48","CMIP6.ScenarioMIP.CCCR-IITM.IITM-ESM.ssp126","none","r1i1p1f1","day","pr","gn","v20201112"
"49","CMIP6.ScenarioMIP.CCCR-IITM.IITM-ESM.ssp245","none","r1i1p1f1","day","pr","gn","v20200915"
"50","CMIP6.ScenarioMIP.CCCR-IITM.IITM-ESM.ssp585","none","r1i1p1f1","day","pr","gn","v20200915"
"51","CMIP6.ScenarioMIP.CMCC.CMCC-CM2-SR5.ssp126","none","r1i1p1f1","day","pr","gn","v20200717"
"52","CMIP6.ScenarioMIP.CMCC.CMCC-CM2-SR5.ssp245","none","r1i1p1f1","day","pr","gn","v20200617"
"53","CMIP6.ScenarioMIP.CMCC.CMCC-CM2-SR5.ssp585","none","r1i1p1f1","day","pr","gn","v20200622"
"54","CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-CM6-1-HR.ssp126","none","r1i1p1f2","day","pr","gr","v20200127"
"55","CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-CM6-1-HR.ssp585","none","r1i1p1f2","day","pr","gr","v20191202"
"56","CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-CM6-1.ssp126","none","r1i1p1f2","day","pr","gr","v20190219"
"57","CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-CM6-1.ssp245","none","r1i1p1f2","day","pr","gr","v20190219"
"58","CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-CM6-1.ssp585","none","r1i1p1f2","day","pr","gr","v20190219"
"59","CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-ESM2-1.ssp126","none","r1i1p1f2","day","pr","gr","v20190328"
"60","CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-ESM2-1.ssp245","none","r1i1p1f2","day","pr","gr","v20190328"
"61","CMIP6.ScenarioMIP.CNRM-CERFACS.CNRM-ESM2-1.ssp585","none","r1i1p1f2","day","pr","gr","v20191021"
"62","CMIP6.ScenarioMIP.CSIRO.ACCESS-ESM1-5.ssp126","none","r1i1p1f1","day","pr","gn","v20191115"
"63","CMIP6.ScenarioMIP.CSIRO.ACCESS-ESM1-5.ssp245","none","r1i1p1f1","day","pr","gn","v20191115"
"64","CMIP6.ScenarioMIP.CSIRO.ACCESS-ESM1-5.ssp585","none","r1i1p1f1","day","pr","gn","v20191115"
"65","CMIP6.ScenarioMIP.CSIRO-ARCCSS.ACCESS-CM2.ssp126","none","r1i1p1f1","day","pr","gn","v20191108"
"66","CMIP6.ScenarioMIP.CSIRO-ARCCSS.ACCESS-CM2.ssp245","none","r1i1p1f1","day","pr","gn","v20191108"
"67","CMIP6.ScenarioMIP.CSIRO-ARCCSS.ACCESS-CM2.ssp585","none","r1i1p1f1","day","pr","gn","v20191108"
