DATA_REF_SYNTAX,FREQUENCY,MODELING_REALM,TABLE_ID,ENS_MEMBER,VERSION_NO,VAR_NAME,HANDLE
CMIP5.output.CSIRO-BOM.ACCESS1-0.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,26a71408-c081-4d9e-ad6b-0663956e62e9
CMIP5.output.CSIRO-BOM.ACCESS1-3.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,84d000c7-fba5-4a8b-92b0-32ce4a2c4741
CMIP5.output.LASG-CESS.FGOALS-g2.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,a88f996d-6cd5-4e6f-a7e5-7c2cf2f142b6
CMIP5.output.MIROC.MIROC5.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,2f9e4915-f816-4a50-8dad-a67372a4262a
CMIP5.output.CMCC.CMCC-CMS.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,c8450faf-b797-4f2b-89d8-43c274387401
CMIP5.output.IPSL.IPSL-CM5B-LR.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,00fc7b6b-62fe-4efc-a83d-959f61d8d624
CMIP5.output.MIROC.MIROC-ESM.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,77b65eba-427a-4a6e-91d8-f0c88b88a367
CMIP5.output.MOHC.HadGEM2-ES.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,1982efa5-8af4-422a-9056-94fe7f90e79c
CMIP5.output.CMCC.CMCC-CM.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,5faba59b-afaf-4d35-918e-c5ff9f4ece9e
CMIP5.output.LASG-IAP.FGOALS-s2.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,906a437f-6e86-4578-bb12-db7c1d5b7be3
CMIP5.output.MPI-M.MPI-ESM-MR.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,9c218292-628a-417f-88dd-93841ca756fb
CMIP5.output.CSIRO-QCCCE.CSIRO-Mk3-6-0.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,55f6d1ca-472f-447e-a0f9-d4edf85c1c36
CMIP5.output.NSF-DOE-NCAR.CESM1-BGC.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,67e4f6e9-ad6d-4ce9-86e3-0452aed14fa5
CMIP5.output.INM.inmcm4.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,d8b96482-4e60-46f9-9f75-ffac7a49c079
CMIP5.output.CCCma.CanESM2.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,484a8601-6c70-4464-aaff-610c9a8000d7
CMIP5.output.NASA-GISS.GISS-E2-R-CC.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,521e9c28-d002-4b07-88a8-6a558e90e4ed
CMIP5.output.BNU.BNU-ESM.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,518a4842-1d85-4ec4-8302-ce1197451c2b
CMIP5.output.NCAR.CCSM4.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,76b9fb38-7b4c-40a3-873d-64e521408eb1
CMIP5.output.NOAA-GFDL.GFDL-ESM2G.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,69303b12-3d22-4139-b16e-daf6fe062b36
CMIP5.output.BCC.bcc-csm1-1-m.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,dd4b1a95-da0d-4f87-807a-f942449bb006
CMIP5.output.NOAA-GFDL.GFDL-ESM2M.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,60915298-6f92-46c7-ab2c-cf16eb323334
CMIP5.output.NCC.NorESM1-M.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,66c1d0a7-3a42-4e28-a62b-2e2535bd1fce
CMIP5.output.IPSL.IPSL-CM5A-MR.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,5ccaed60-1563-4150-af7e-f0b4c6633e75
CMIP5.output.IPSL.IPSL-CM5A-LR.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,20cc00de-011a-4a4f-8f21-9a942e4ff3c5
CMIP5.output.NOAA-GFDL.GFDL-CM3.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,80136710-9131-4226-ad7a-8747fcf825c5
CMIP5.output.CNRM-CERFACS.CNRM-CM5.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,b002add1-14e3-44f0-b92a-cac6ac1ce8a4
CMIP5.output.NASA-GISS.GISS-E2-H.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,8783e7b2-4001-4f8c-9bf5-cb1c729c43e4
CMIP5.output.MIROC.MIROC-ESM-CHEM.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,521f80fd-1d3e-4fe7-adaa-b54ebd14d360
CMIP5.output.BCC.bcc-csm1-1.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,853e77a6-a0c4-4757-b2db-a9da21cc7b55
CMIP5.output.NCC.NorESM1-ME.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,47ac691c-994b-4871-8867-b6df973824d1
CMIP5.output.NIMR-KMA.HadGEM2-AO.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,f1c456b8-945a-40f4-9db4-e94e19b3ce6f
CMIP5.output.NASA-GISS.GISS-E2-R.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,b82ce859-facd-425c-af1f-9050237fa228
CMIP5.output.MOHC.HadGEM2-CC.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,11078333-59a6-49d0-a377-685677abfbba
CMIP5.output.NASA-GISS.GISS-E2-H-CC.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,dc069910-a1ba-4d5f-8cc9-86808473157d
CMIP5.output.CMCC.CMCC-CESM.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,5eaf1cc2-fcf8-4382-93b9-4d37de4e2b59
CMIP5.output.MRI.MRI-CGCM3.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,9c0382fb-8298-4de2-b610-e32bba4a06d6
CMIP5.output.MPI-M.MPI-ESM-LR.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,18e79bac-662f-455a-a60f-a725b72c7366
CMIP5.output.MRI.MRI-ESM1.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,eda3c8a8-e5ae-42b7-b08d-12adf87463fe
CMIP5.output.NSF-DOE-NCAR.CESM1-CAM5.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,3fa7156f-9ab3-4f3e-baaa-8ebdd3933b0b
CMIP5.output.CSIRO-BOM.ACCESS1-0.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,26a71408-c081-4d9e-ad6b-0663956e62e9
CMIP5.output.CSIRO-BOM.ACCESS1-3.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,84d000c7-fba5-4a8b-92b0-32ce4a2c4741
CMIP5.output.LASG-CESS.FGOALS-g2.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,b47d33a6-b1aa-4ed8-8813-107dd234a8e0
CMIP5.output.MIROC.MIROC5.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,2f9e4915-f816-4a50-8dad-a67372a4262a
CMIP5.output.CMCC.CMCC-CMS.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,a262735d-0308-44fe-880d-7c41a21d5600
CMIP5.output.IPSL.IPSL-CM5B-LR.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,00fc7b6b-62fe-4efc-a83d-959f61d8d624
CMIP5.output.MIROC.MIROC-ESM.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,77b65eba-427a-4a6e-91d8-f0c88b88a367
CMIP5.output.MOHC.HadGEM2-ES.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,f4cbd8a3-b9d4-4dcd-ad0a-7426e2cfce7d
CMIP5.output.CMCC.CMCC-CM.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,c477e256-fd6e-408b-978d-8e92fd382274
CMIP5.output.LASG-IAP.FGOALS-s2.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,906a437f-6e86-4578-bb12-db7c1d5b7be3
CMIP5.output.MPI-M.MPI-ESM-MR.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,9c218292-628a-417f-88dd-93841ca756fb
CMIP5.output.CSIRO-QCCCE.CSIRO-Mk3-6-0.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,55f6d1ca-472f-447e-a0f9-d4edf85c1c36
