DATA_REF_SYNTAX,FREQUENCY,MODELING_REALM,TABLE_ID,ENS_MEMBER,VERSION_NO,VAR_NAME,HANDLE
CMIP5.output.CSIRO-BOM.ACCESS1-0.rcp85,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,e7a63ab0-d619-4d26-8db3-5e84ecdbeb57
CMIP5.output.CSIRO-BOM.ACCESS1-3.rcp85,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,ca5dc98d-6185-44d9-9ef6-3a8cc1b187c8
CMIP5.output.IPSL.IPSL-CM5B-LR.rcp85,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,193268df-9374-4767-b13c-764f52cafed6
CMIP5.output.MIROC.MIROC5.rcp85,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,e02f4e70-fe8b-413f-8621-dc726b92ba86
CMIP5.output.CMCC.CMCC-CMS.rcp85,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,a6fd336c-bf9b-456d-b8dc-28728287ae6f
CMIP5.output.MIROC.MIROC-ESM.rcp85,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,9cdcb68e-a6a6-4bf5-909e-0117fe713561
CMIP5.output.MOHC.HadGEM2-ES.rcp85,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,f04360e5-0e3a-42ba-8a9d-fbda7dd4886d
CMIP5.output.CMCC.CMCC-CM.rcp85,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,f290e978-a4f3-4c83-b50d-21e6419201d6
CMIP5.output.MPI-M.MPI-ESM-MR.rcp85,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,f2a7759c-c7d4-4fa8-a923-4ed1646c70e4
CMIP5.output.CSIRO-QCCCE.CSIRO-Mk3-6-0.rcp85,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,16e32d18-6f23-479d-8e18-57cce93eaf04
CMIP5.output.CCCma.CanESM2.rcp85,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,c1dc1007-04ab-4cdd-a53f-a7bc9101e64f
CMIP5.output.NASA-GISS.GISS-E2-R-CC.rcp85,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,f7c8b517-c378-42ec-8de3-2f845d97b561
CMIP5.output.BNU.BNU-ESM.rcp85,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,7fde4648-2ab1-49f1-99d6-5d57b5ccd1f6
CMIP5.output.NOAA-GFDL.GFDL-ESM2G.rcp85,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,3fa56cde-e7e9-46c3-b3ba-56626961a819
CMIP5.output.NOAA-GFDL.GFDL-ESM2M.rcp85,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,077dc3ea-0f63-4135-8afa-1ef565de0930
CMIP5.output.IPSL.IPSL-CM5A-MR.rcp85,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,3fd1f619-478b-49c9-bbea-18c7d788e7e3
CMIP5.output.IPSL.IPSL-CM5A-LR.rcp85,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,72ab0ed8-6830-4df5-adaf-a180b615b3b3
CMIP5.output.NOAA-GFDL.GFDL-CM3.rcp85,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,c68e7f9c-45ff-45f3-9aae-20a3e776cf8f
CMIP5.output.CNRM-CERFACS.CNRM-CM5.rcp85,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,aa467087-fb99-4f2b-8e71-78cd146761c1
CMIP5.output.NASA-GISS.GISS-E2-H.rcp85,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,dd135321-0dfd-4457-9521-c761de7a7182
CMIP5.output.MIROC.MIROC-ESM-CHEM.rcp85,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,334efade-85a4-4115-9943-9a6dcf434a3b
CMIP5.output.NIMR-KMA.HadGEM2-AO.rcp85,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,12605a03-0021-4b4a-bbc3-f12507500a4a
