"","DATA_REF_SYNTAX","MODEL_ID","RCM_VERSION_ID","FREQUENCY","VAR_NAME","VERSION_NO"
"1","CORDEX.output.ANT-44.DMI.ICHEC-EC-EARTH.historical.r3i1p1","DMI-HIRHAM5","v1","day","sfcWind","v20180119"
"2","CORDEX.output.ANT-44.DMI.ICHEC-EC-EARTH.rcp45.r3i1p1","DMI-HIRHAM5","v1","day","sfcWind","v20180119"
"3","CORDEX.output.ANT-44.DMI.ICHEC-EC-EARTH.rcp85.r3i1p1","DMI-HIRHAM5","v1","day","sfcWind","v20180119"
"4","CORDEX.output.ANT-44.KNMI.ICHEC-EC-EARTH.historical.r1i1p1","KNMI-RACMO21P","v1","day","sfcWind","v20140304"
"5","CORDEX.output.ANT-44.KNMI.ICHEC-EC-EARTH.rcp45.r1i1p1","KNMI-RACMO21P","v1","day","sfcWind","v20140304"
"6","CORDEX.output.ANT-44.KNMI.ICHEC-EC-EARTH.rcp85.r1i1p1","KNMI-RACMO21P","v1","day","sfcWind","v20140304"
"7","CORDEX.output.ANT-44.KNMI.MOHC-HadGEM2-ES.historical.r1i1p1","KNMI-RACMO21P","v2","day","sfcWind","v20160802"
"8","CORDEX.output.ANT-44.KNMI.MOHC-HadGEM2-ES.rcp26.r1i1p1","KNMI-RACMO21P","v2","day","sfcWind","v20160802"
"9","CORDEX.output.ANT-44.KNMI.MOHC-HadGEM2-ES.rcp45.r1i1p1","KNMI-RACMO21P","v2","day","sfcWind","v20160802"
"10","CORDEX.output.ANT-44.KNMI.MOHC-HadGEM2-ES.rcp85.r1i1p1","KNMI-RACMO21P","v2","day","sfcWind","v20160802"
"11","CORDEX.output.ANT-44.ULg.CSIRO-BOM-ACCESS1-3.historical.r1i1p1","ULg-MAR311","v1","day","sfcWind","v20201001"
"12","CORDEX.output.ANT-44.ULg.CSIRO-BOM-ACCESS1-3.rcp85.r1i1p1","ULg-MAR311","v1","day","sfcWind","v20201001"
"13","CORDEX.output.ANT-44.ULg.NCC-NorESM1-M.historical.r1i1p1","ULg-MAR311","v1","day","sfcWind","v20201001"
"14","CORDEX.output.ANT-44.ULg.NCC-NorESM1-M.rcp85.r1i1p1","ULg-MAR311","v1","day","sfcWind","v20201001"
