"","DATA_REF_SYNTAX","MODEL_ID","RCM_VERSION_ID","FREQUENCY","VAR_NAME","VERSION_NO"
"1","CORDEX.output.ARC-22.CCCma.CCCma-CanESM2.historical.r1i1p1","CCCma-CanRCM4","r2","day","sfcWind","v20200915"
"2","CORDEX.output.ARC-22.CCCma.CCCma-CanESM2.rcp45.r1i1p1","CCCma-CanRCM4","r2","day","sfcWind","v20200915"
"3","CORDEX.output.ARC-22.CCCma.CCCma-CanESM2.rcp85.r1i1p1","CCCma-CanRCM4","r2","day","sfcWind","v20200915"
"4","CORDEX.output.ARC-44.DMI.ICHEC-EC-EARTH.historical.r3i1p1","DMI-HIRHAM5","v1","day","sfcWind","v20160607"
"5","CORDEX.output.ARC-44.DMI.ICHEC-EC-EARTH.rcp45.r3i1p1","DMI-HIRHAM5","v1","day","sfcWind","v20160607"
"6","CORDEX.output.ARC-44.DMI.ICHEC-EC-EARTH.rcp85.r3i1p1","DMI-HIRHAM5","v1","day","sfcWind","v20160607"
"7","CORDEX.output.ARC-44.MGO.MPI-M-MPI-ESM-LR.historical.r1i1p1","MGO-RRCM","v1","day","sfcWind","v20160912"
"8","CORDEX.output.ARC-44.MGO.MPI-M-MPI-ESM-LR.rcp85.r1i1p1","MGO-RRCM","v1","day","sfcWind","v20160912"
"9","CORDEX.output.ARC-44.SMHI.CCCma-CanESM2.historical.r1i1p1","SMHI-RCA4","v1","day","sfcWind","v20140123"
"10","CORDEX.output.ARC-44.SMHI.CCCma-CanESM2.rcp45.r1i1p1","SMHI-RCA4","v1","day","sfcWind","v20140123"
"11","CORDEX.output.ARC-44.SMHI.CCCma-CanESM2.rcp85.r1i1p1","SMHI-RCA4","v1","day","sfcWind","v20140123"
"12","CORDEX.output.ARC-44.SMHI.ICHEC-EC-EARTH.historical.r12i1p1","SMHI-RCA4-SN","v1","day","sfcWind","v20140123"
"13","CORDEX.output.ARC-44.SMHI.ICHEC-EC-EARTH.historical.r12i1p1","SMHI-RCA4","v1","day","sfcWind","v20140123"
"14","CORDEX.output.ARC-44.SMHI.ICHEC-EC-EARTH.rcp26.r12i1p1","SMHI-RCA4","v1","day","sfcWind","v20140123"
"15","CORDEX.output.ARC-44.SMHI.ICHEC-EC-EARTH.rcp45.r12i1p1","SMHI-RCA4","v1","day","sfcWind","v20140123"
"16","CORDEX.output.ARC-44.SMHI.ICHEC-EC-EARTH.rcp85.r12i1p1","SMHI-RCA4-SN","v1","day","sfcWind","v20140123"
"17","CORDEX.output.ARC-44.SMHI.ICHEC-EC-EARTH.rcp85.r12i1p1","SMHI-RCA4","v1","day","sfcWind","v20140123"
"18","CORDEX.output.ARC-44.SMHI.MPI-M-MPI-ESM-LR.historical.r1i1p1","SMHI-RCA4-SN","v1","day","sfcWind","v20140123"
"19","CORDEX.output.ARC-44.SMHI.MPI-M-MPI-ESM-LR.historical.r1i1p1","SMHI-RCA4","v1","day","sfcWind","v20140123"
"20","CORDEX.output.ARC-44.SMHI.MPI-M-MPI-ESM-LR.rcp45.r1i1p1","SMHI-RCA4","v1","day","sfcWind","v20140123"
"21","CORDEX.output.ARC-44.SMHI.MPI-M-MPI-ESM-LR.rcp85.r1i1p1","SMHI-RCA4-SN","v1","day","sfcWind","v20140123"
"22","CORDEX.output.ARC-44.SMHI.MPI-M-MPI-ESM-LR.rcp85.r1i1p1","SMHI-RCA4","v1","day","sfcWind","v20140123"
"23","CORDEX.output.ARC-44.SMHI.NCC-NorESM1-M.historical.r1i1p1","SMHI-RCA4","v1","day","sfcWind","v20140123"
"24","CORDEX.output.ARC-44.SMHI.NCC-NorESM1-M.rcp45.r1i1p1","SMHI-RCA4","v1","day","sfcWind","v20140123"
"25","CORDEX.output.ARC-44.SMHI.NCC-NorESM1-M.rcp85.r1i1p1","SMHI-RCA4","v1","day","sfcWind","v20140123"
"26","CORDEX.output.ARC-44.UQAM.CCCma-CanESM2.historical.r1i1p1","UQAM-CRCM5","v1","day","sfcWind","v20200915"
"27","CORDEX.output.ARC-44.UQAM.CCCma-CanESM2.rcp85.r1i1p1","UQAM-CRCM5","v1","day","sfcWind","v20200915"
"28","CORDEX.output.ARC-44.UQAM.MPI-M-MPI-ESM-MR.historical.r1i1p1","UQAM-CRCM5","v1","day","sfcWind","v20200915"
"29","CORDEX.output.ARC-44.UQAM.MPI-M-MPI-ESM-MR.rcp85.r1i1p1","UQAM-CRCM5","v1","day","sfcWind","v20200915"
