"","DATA_REF_SYNTAX","MODEL_ID","RCM_VERSION_ID","FREQUENCY","VAR_NAME","VERSION_NO"
"1","CORDEX.output.SEA-22.GERICS.MOHC-HadGEM2-ES.historical.r1i1p1","GERICS-REMO2015","v1","day","sfcWind","v20191015"
"2","CORDEX.output.SEA-22.GERICS.MOHC-HadGEM2-ES.rcp26.r1i1p1","GERICS-REMO2015","v1","day","sfcWind","v20191025"
"3","CORDEX.output.SEA-22.GERICS.MOHC-HadGEM2-ES.rcp85.r1i1p1","GERICS-REMO2015","v1","day","sfcWind","v20191029"
"4","CORDEX.output.SEA-22.GERICS.MPI-M-MPI-ESM-LR.historical.r1i1p1","GERICS-REMO2015","v1","day","sfcWind","v20191015"
"5","CORDEX.output.SEA-22.GERICS.MPI-M-MPI-ESM-LR.rcp26.r1i1p1","GERICS-REMO2015","v1","day","sfcWind","v20191025"
"6","CORDEX.output.SEA-22.GERICS.MPI-M-MPI-ESM-LR.rcp85.r1i1p1","GERICS-REMO2015","v1","day","sfcWind","v20191029"
"7","CORDEX.output.SEA-22.GERICS.NCC-NorESM1-M.historical.r1i1p1","GERICS-REMO2015","v1","day","sfcWind","v20191015"
"8","CORDEX.output.SEA-22.GERICS.NCC-NorESM1-M.rcp26.r1i1p1","GERICS-REMO2015","v1","day","sfcWind","v20191025"
"9","CORDEX.output.SEA-22.GERICS.NCC-NorESM1-M.rcp85.r1i1p1","GERICS-REMO2015","v1","day","sfcWind","v20191029"
"10","CORDEX.output.SEA-22.ICTP.MOHC-HadGEM2-ES.historical.r1i1p1","ICTP-RegCM4-7","v0","day","sfcWind","v20190502"
"11","CORDEX.output.SEA-22.ICTP.MOHC-HadGEM2-ES.rcp26.r1i1p1","ICTP-RegCM4-7","v0","day","sfcWind","v20190502"
"12","CORDEX.output.SEA-22.ICTP.MOHC-HadGEM2-ES.rcp85.r1i1p1","ICTP-RegCM4-7","v0","day","sfcWind","v20190502"
"13","CORDEX.output.SEA-22.ICTP.MPI-M-MPI-ESM-MR.historical.r1i1p1","ICTP-RegCM4-7","v0","day","sfcWind","v20190502"
"14","CORDEX.output.SEA-22.ICTP.MPI-M-MPI-ESM-MR.rcp26.r1i1p1","ICTP-RegCM4-7","v0","day","sfcWind","v20190502"
"15","CORDEX.output.SEA-22.ICTP.MPI-M-MPI-ESM-MR.rcp85.r1i1p1","ICTP-RegCM4-7","v0","day","sfcWind","v20190502"
"16","CORDEX.output.SEA-22.ICTP.NCC-NorESM1-M.historical.r1i1p1","ICTP-RegCM4-7","v0","day","sfcWind","v20190502"
"17","CORDEX.output.SEA-22.ICTP.NCC-NorESM1-M.rcp26.r1i1p1","ICTP-RegCM4-7","v0","day","sfcWind","v20190502"
"18","CORDEX.output.SEA-22.ICTP.NCC-NorESM1-M.rcp85.r1i1p1","ICTP-RegCM4-7","v0","day","sfcWind","v20190502"
"19",NA,NA,NA,NA,NA,NA
"20",NA,NA,NA,NA,NA,NA
"21",NA,NA,NA,NA,NA,NA
"22",NA,NA,NA,NA,NA,NA
"23",NA,NA,NA,NA,NA,NA
"24",NA,NA,NA,NA,NA,NA
"25",NA,NA,NA,NA,NA,NA
"26",NA,NA,NA,NA,NA,NA
"27",NA,NA,NA,NA,NA,NA
"28",NA,NA,NA,NA,NA,NA
"29",NA,NA,NA,NA,NA,NA
"30",NA,NA,NA,NA,NA,NA
